Artist,Title,Air Time,Letter,First Word,Duration,Year
Simon & Garfunkel,The Only Living Boy In New York,2020-12-11 11:37:00,T,The,4,1970
Van Halen,Ain't Talkin' 'bout Love,2020-12-11 11:41:00,A,Ain't,6,1978
Talking Heads,Road to Nowhere,2020-12-11 11:47:00,R,Road,4,1994
Blue Oyster Cult,(Don't Fear) The Reaper,2020-12-11 11:51:00,(,(,8,1977
Cat Stevens,Peace Train,2020-12-11 11:59:00,P,Peace,1,1971
Steely Dan,Josie,2020-12-11 12:03:00,J,Josie,5,1977
Jeff Buckley,Forget Her,2020-12-11 12:08:00,F,Forget,5,1994
Janis Joplin,Ball And Chain,2020-12-11 12:13:00,B,Ball,10,1969
Elvis Costello,Everyday I Write The Book,2020-12-11 12:23:00,E,Everyday,4,1983
Aerosmith,Walk This Way,2020-12-11 12:27:00,W,Walk,4,1975
Starland Vocal Band,Afternoon Delight,2020-12-11 12:31:00,A,Afternoon,3,1976
K. T. Tunstall,Suddenly I See,2020-12-11 12:34:00,S,Suddenly,5,0
Jo Stafford,You Belong To Me,2020-12-11 12:39:00,Y,You,3,1991
Led Zeppelin,Custard Pie,2020-12-11 12:42:00,C,Custard,4,1975
Alison Krauss,"Baby, Now That I've Found You",2020-12-11 12:46:00,B,Baby,4,1995
Carl Perkins,Blue Suede Shoes,2020-12-11 12:50:00,B,Blue,2,1972
The Animals,We Gotta Get Out Of This Place,2020-12-11 12:52:00,W,We,5,1990
Blondie,The Tide Is High,2020-12-11 12:57:00,T,The,5,1980
Bram Tchaikovsky,Girl Of My Dreams,2020-12-11 13:02:00,G,Girl,4,1979
The White Stripes,We're Going To Be Friends,2020-12-11 13:06:00,W,We're,2,2001
U2,Bullet The Blue Sky,2020-12-11 13:08:00,B,Bullet,7,1987
Bing Crosby,White Christmas,2020-12-11 13:15:00,W,White,3,1977
Hugh Masakela,Grazing In The Grass,2020-12-11 13:18:00,G,Grazing,2,0
The Band,Rag Mama Rag,2020-12-11 13:20:00,R,Rag,3,1969
Ella Fitzgerald & Louis Armstrong,Summertime,2020-12-11 13:23:00,S,Summertime,7,1957
The Beatles,The End,2020-12-11 13:30:00,T,The,2,1969
Jackson Browne,Doctor My Eyes,2020-12-11 13:32:00,D,Doctor,4,1972
Ben Vaughn,I Dig Your Wig,2020-12-11 13:36:00,I,I,3,1986
Pink Floyd,On The Turning Away,2020-12-11 13:39:00,O,On,6,1987
Outkast,Ms. Jackson,2020-12-11 13:45:00,M,Ms,4,2000
Abba,Dancing Queen,2020-12-11 13:49:00,D,Dancing,4,1980
Steve Miller Band,Fly Like An Eagle,2020-12-11 13:53:00,F,Fly,3,1984
Elvis Presley,If I Can Dream,2020-12-11 13:56:00,I,If,4,1968
Ani DiFranco,Little Plastic Castle,2020-12-11 14:00:00,L,Little,4,1998
Grateful Dead,U.S. Blues,2020-12-11 14:04:00,U,U,5,1974
David Bowie,Scary Monsters (And Super Creeps),2020-12-11 14:09:00,S,Scary,8,1980
The Strokes,Last Nite,2020-12-11 14:17:00,L,Last,3,2001
Citizen Cope,Sideways,2020-12-11 14:20:00,S,Sideways,5,2002
Indigo Girls,Kid Fears,2020-12-11 14:25:00,K,Kid,5,1989
Marshall Tucker Band,Can't You See,2020-12-11 14:30:00,C,Can't,7,1973
Radiohead,Street Spirit (Fade Out),2020-12-11 14:37:00,S,Street,5,1995
Billy Joel,We Didn't Start The Fire,2020-12-11 14:42:00,W,We,4,1977
Marah,Point Breeze,2020-12-11 14:46:00,P,Point,2,2000
Fugazi,Waiting Room,2020-12-11 14:48:00,W,Waiting,5,1988
Genesis,Squonk,2020-12-11 14:53:00,S,Squonk,7,1976
Joni Mitchell,Help Me,2020-12-11 15:00:00,H,Help,4,1974
Bauhaus,Bela Lugosi's Dead,2020-12-11 15:04:00,B,Bela,11,1979
Bruce Springsteen,Growing Up,2020-12-11 15:15:00,G,Growing,3,1994
The Doobie Brothers,Long Train Runnin',2020-12-11 15:18:00,L,Long,4,1975
The Foundations,Build Me Up Buttercup,2020-12-11 15:22:00,B,Build,3,1992
John Prine,That's The Way The World Goes Round,2020-12-11 15:25:00,T,That's,4,1978
Cheap Trick,Surrender,2020-12-11 15:29:00,S,Surrender,5,1978
The Beach Boys,I Can Hear Music,2020-12-11 15:34:00,I,I,2,1974
Simon & Garfunkel,I Am A Rock,2020-12-11 15:36:00,I,I,4,1966
Martha Reeves & The Vandellas,(Love Is Like A) Heat Wave,2020-12-11 15:40:00,(,(,3,1965
Linda Ronstadt,Heart Like A Wheel,2020-12-11 15:43:00,H,Heart,3,1971
Ice Cube,It Was A Good Day,2020-12-11 15:46:00,I,It,5,1992
Electric Light Orchestra,Telephone Line,2020-12-11 15:51:00,T,Telephone,5,1977
Carole King,So Far Away,2020-12-11 15:56:00,S,So,4,1971
Billy Joel,Miami 2017,2020-12-11 16:00:00,M,Miami,6,1976
Liz Phair,Supernova,2020-12-11 16:06:00,S,Supernova,4,1994
Miles Davis,Miles Runs The Voodoo Down,2020-12-11 16:10:00,M,Miles,15,1970
Pearl Jam,Black,2020-12-11 16:25:00,B,Black,6,2000
Miles Davis,Blue In Green,2020-12-11 16:31:00,B,Blue,7,1966
The dB's,Love Is For Lovers,2020-12-11 16:38:00,L,Love,3,1984
The Clash,Revolution Rock,2020-12-11 16:41:00,R,Revolution,6,1979
The Beatles,When I'm Sixty-Four,2020-12-11 16:47:00,W,When,2,1967
Eddie Money,Two Tickets To Paradise,2020-12-11 16:49:00,T,Two,6,1977
Led Zeppelin,Out On The Tiles,2020-12-11 16:55:00,O,Out,5,1970
Van Morrison,Queen Of The Slipstream,2020-12-11 17:00:00,Q,Queen,4,1987
Kirsty MacColl,In These Shoes?,2020-12-11 17:04:00,I,In,4,2000
Cracker,Euro-Trash Girl,2020-12-11 17:08:00,E,Euro-Trash,10,1992
Jimi Hendrix,Burning Of The Midnight Lamp,2020-12-11 17:18:00,B,Burning,4,1967
Enya,Orinoco Flow,2020-12-11 17:22:00,O,Orinoco,4,1988
U2,One Tree Hill,2020-12-11 17:26:00,O,One,7,1987
The Beatles,The Night Before,2020-12-11 17:33:00,T,The,2,1965
The Cars,Moving In Stereo,2020-12-11 17:35:00,M,Moving,5,1978
R. E. M.,Perfect Circle,2020-12-11 17:40:00,P,Perfect,4,1983
Emmylou Harris,Boulder To Birmingham,2020-12-11 17:44:00,B,Boulder,3,1975
Death Cab For Cutie,I Will Follow You Into The Dark,2020-12-11 17:47:00,I,I,4,2005
R. E. M.,Walk Unafraid,2020-12-11 17:51:00,W,Walk,5,1998
Petula Clark,Downtown,2020-12-11 17:56:00,D,Downtown,5,1985
The Allman Brothers,Mountain Jam,2020-12-11 18:01:00,M,Mountain,36,1972
Joni Mitchell,Hejira,2020-12-11 18:37:00,H,Hejira,6,1976
The Afghan Whigs,Rebirth Of The Cool,2020-12-11 18:43:00,R,Rebirth,8,1992
The White Stripes,Fell In Love With A Girl,2020-12-11 18:51:00,F,Fell,1,1998
Crosby Stills & Nash,Guinnevere,2020-12-11 18:52:00,G,Guinnevere,6,1969
Little Richard,Rip It Up,2020-12-11 18:58:00,R,Rip,3,1956
Meatloaf,Bat Out Of Hell,2020-12-11 19:01:00,B,Bat,10,0
Mother Earth,Down So Low,2020-12-11 19:11:00,D,Down,6,1968
Loreena McKennitt,The Mystic's Dream,2020-12-11 19:17:00,T,The,7,1994
Ozzy Osbourne,Crazy Train,2020-12-11 19:24:00,C,Crazy,6,1980
Billy Bragg,Waiting For The Great Leap Forwards,2020-12-11 19:30:00,W,Waiting,4,1988
XTC,The Ballad Of Peter Pumpkinhead,2020-12-11 19:34:00,T,The,5,1992
Dusty Springfield,Windmills Of Your Mind,2020-12-11 19:39:00,W,Windmills,5,1969
The Stills-Young Band,Long May You Run,2020-12-11 19:44:00,L,Long,4,1976
"Friedrich Gulda, Vienna Philharmonic & Claudio Abbado","Piano Concerto No. 21 in C Major, K. 467: II. Andante",2020-12-11 19:48:00,P,Piano,9,0
Spirit,I Got A Line On You,2020-12-11 19:57:00,I,I,3,1969
Tame Impala,Eventually,2020-12-11 20:00:00,E,Eventually,6,2015
Tash Sultana,Jungle,2020-12-11 20:06:00,J,Jungle,7,2016
The Cure,Disintegration,2020-12-11 20:13:00,D,Disintegration,8,1989
The Who,Gettin' In Tune,2020-12-11 20:21:00,G,Gettin',7,1996
R. E. M.,Radio Free Europe,2020-12-11 20:28:00,R,Radio,4,1981
Warren Zevon,Excitable Boy,2020-12-11 20:32:00,E,Excitable,3,1978
Creedence Clearwater Revival,Run Through The Jungle,2020-12-11 20:35:00,R,Run,3,1970
Bob Dylan,If Not For You,2020-12-11 20:38:00,I,If,3,1970
Richie Havens,Here Comes The Sun,2020-12-11 20:41:00,H,Here,4,1970
Leonard Cohen,I'm Your Man,2020-12-11 20:45:00,I,I'm,5,1974
Led Zeppelin,You Shook Me,2020-12-11 20:50:00,Y,You,7,1969
Dr. Dog,Where'd All The Time Go?,2020-12-11 20:57:00,W,Where'd,5,2010
Hozier,From Eden,2020-12-11 21:02:00,F,From,3,2013
Red Hot Chili Peppers,Under The Bridge,2020-12-11 21:05:00,U,Under,5,1991
Howlin' Wolf,Spoonful,2020-12-11 21:10:00,S,Spoonful,3,1960
Hall & Oates,Kiss On My List,2020-12-11 21:13:00,K,Kiss,4,1983
The Byrds,Mr. Tambourine Man,2020-12-11 21:17:00,M,Mr,3,1970
Prince,When You Were Mine,2020-12-11 21:20:00,W,When,4,1980
Tina Turner,What's Love Got To Do With It,2020-12-11 21:24:00,W,What's,4,1985
Gorillaz,Feel Good Inc.,2020-12-11 21:28:00,F,Feel,4,2005
Mott The Hoople,Roll Away The Stone,2020-12-11 21:32:00,R,Roll,3,1974
The English Beat,Save It For Later,2020-12-11 21:35:00,S,Save,5,1991
The Allman Brothers,Stormy Monday,2020-12-11 21:40:00,S,Stormy,9,1982
The Rolling Stones,Play With Fire,2020-12-11 21:49:00,P,Play,2,1965
Coldplay,Shiver,2020-12-11 21:51:00,S,Shiver,6,2000
The Byrds,You Ain't Going Nowhere,2020-12-11 21:57:00,Y,You,3,1968
Bruce Hornsby & The Range,The Way It Is,2020-12-11 22:00:00,T,The,5,1987
Aretha Franklin,Until You Come Back To Me (That's What I'm Gonna Do),2020-12-11 22:05:00,U,Until,4,1974
Janelle Monae,Tightrope,2020-12-11 22:09:00,T,Tightrope,5,2010
Robyn,Call Your Girlfriend,2020-12-11 22:14:00,C,Call,4,2010
The Trammps,Disco Inferno,2020-12-11 22:18:00,D,Disco,3,1977
Stevie Wonder,Boogie On Reggae Woman,2020-12-11 22:21:00,B,Boogie,7,1974
AC/DC,Highway To Hell,2020-12-11 22:28:00,H,Highway,4,1979
Elvis Presley,Heartbreak Hotel,2020-12-11 22:32:00,H,Heartbreak,2,1972
The Commodores,Easy,2020-12-11 22:34:00,E,Easy,4,1996
Crosby Stills Nash & Young,Country Girl,2020-12-11 22:38:00,C,Country,6,1970
Neil Young,Unknown Legend,2020-12-11 22:44:00,U,Unknown,5,1992
Jerry Garcia,The Wheel,2020-12-11 22:49:00,T,The,4,1972
Mott The Hoople,All The Young Dudes,2020-12-11 22:53:00,A,All,4,1974
The Supremes,Stop! In The Name Of Love,2020-12-11 22:57:00,S,Stop,3,1965
Elvis Presley,Jailhouse Rock,2020-12-11 23:00:00,J,Jailhouse,3,1975
Dave Matthews Band,The Best Of What's Around,2020-12-11 23:03:00,T,The,4,1994
John Prine,Illegal Smile,2020-12-11 23:07:00,I,Illegal,4,1971
Three Dog Night,Shambala,2020-12-11 23:11:00,S,Shambala,3,1973
Earth Wind & Fire,Let's Groove,2020-12-11 23:14:00,L,Let's,6,1981
Stevie Wonder,I Wish,2020-12-11 23:20:00,I,I,6,1976
The Who,5:15,2020-12-11 23:26:00,5,5,4,1979
Talking Heads,Crosseyed And Painless,2020-12-11 23:30:00,C,Crosseyed,5,1980
Steely Dan,Hey Nineteen,2020-12-11 23:35:00,H,Hey,5,1980
Sly & The Family Stone,Dance To The Music,2020-12-11 23:40:00,D,Dance,4,1985
Sex Pistols,Anarchy In The U.K.,2020-12-11 23:44:00,A,Anarchy,3,1979
Rush,YYZ,2020-12-11 23:47:00,Y,YYZ,5,1981
Michael Penn,No Myth,2020-12-11 23:52:00,N,No,5,1989
Grateful Dead,Friend Of The Devil,2020-12-11 23:57:00,F,Friend,4,1981
The Cure,The Love Cats,2020-12-12 00:01:00,T,The,3,1983
The Beach Boys,Surf's Up,2020-12-12 00:04:00,S,Surf's,4,1971
Billy Paul,Me and Mrs. Jones,2020-12-12 00:08:00,M,Me,6,1990
Lyle Lovett,Church,2020-12-12 00:14:00,C,Church,6,1992
Patty Griffin,Making Pies,2020-12-12 00:20:00,M,Making,3,2002
Billy Joel,Vienna,2020-12-12 00:23:00,V,Vienna,4,1977
Nick Drake,Time Has Told Me,2020-12-12 00:27:00,T,Time,5,1969
Mondo Cozmo,Shine,2020-12-12 00:32:00,S,Shine,4,2016
Cracker,Low,2020-12-12 00:36:00,L,Low,4,1993
Danny O'Keefe,Good Time Charlie's Got The Blues,2020-12-12 00:40:00,G,Good,5,1972
Frank Ocean,Chanel,2020-12-12 00:45:00,C,Chanel,3,2017
Goo Goo Dolls,Name,2020-12-12 00:48:00,N,Name,5,1990
Blur,Tender,2020-12-12 00:53:00,T,Tender,8,1999
Bob Dylan,I Want You,2020-12-12 01:01:00,I,I,3,1966
John Prine,Your Flag Decal Won't Get You Into Heaven Anymore,2020-12-12 01:04:00,Y,Your,2,1971
The New Pornographers,Sing Me Spanish Techno,2020-12-12 01:06:00,S,Sing,6,2005
The Beach Boys,"Fun, Fun, Fun",2020-12-12 01:12:00,F,Fun,2,1964
Sam Cooke,Summertime,2020-12-12 01:14:00,S,Summertime,2,1957
Otis Redding,These Arms Of Mine,2020-12-12 01:16:00,T,These,3,1962
Lucinda Williams,Can't Let Go,2020-12-12 01:19:00,C,Can't,3,1998
The National,Mistaken For Strangers,2020-12-12 01:22:00,M,Mistaken,4,2007
The Go-Go's,We Got The Beat,2020-12-12 01:26:00,W,We,2,1980
The Style Council,My Ever Changing Moods,2020-12-12 01:28:00,M,My,6,1984
Derek & The Dominos,Keep On Growing,2020-12-12 01:34:00,K,Keep,7,1970
David Bowie,The Width Of A Circle,2020-12-12 01:41:00,T,The,8,1970
Linda Ronstadt,Lose Again,2020-12-12 01:49:00,L,Lose,4,1976
The Beatles,Can't Buy Me Love,2020-12-12 01:53:00,C,Can't,2,1967
John Lennon,Mother,2020-12-12 01:55:00,M,Mother,6,1970
The Ramones,Rockaway Beach,2020-12-12 02:01:00,R,Rockaway,2,1979
The Who,The Song Is Over,2020-12-12 02:03:00,T,The,6,1971
Talking Heads,And She Was,2020-12-12 02:09:00,A,And,5,1985
Grateful Dead,Shakedown Street,2020-12-12 02:14:00,S,Shakedown,4,1978
Roxy Music,Mother Of Pearl,2020-12-12 02:18:00,M,Mother,7,1973
Queen,Fat Bottomed Girls,2020-12-12 02:25:00,F,Fat,6,1978
Lucinda Williams,Minneapolis,2020-12-12 02:31:00,M,Minneapolis,4,2003
Billy Joel,Captain Jack,2020-12-12 02:35:00,C,Captain,7,1973
Michael Jackson,Billie Jean,2020-12-12 02:42:00,B,Billie,6,1982
Sam Cooke,Cupid,2020-12-12 02:48:00,C,Cupid,2,1962
Hop Along,Prior Things,2020-12-12 02:50:00,P,Prior,7,2018
Kermit The Frog,Rainbow Connection,2020-12-12 02:57:00,R,Rainbow,4,1979
Lulu,To Sir With Love,2020-12-12 03:01:00,T,To,2,1989
X,See How We Are,2020-12-12 03:03:00,S,See,4,1987
The Beatles,You've Got To Hide Your Love Away,2020-12-12 03:07:00,Y,You've,2,1965
B-52's,Planet Claire,2020-12-12 03:09:00,P,Planet,6,1979
Gram Parsons,Return Of The Grievous Angel,2020-12-12 03:15:00,R,Return,4,1974
Led Zeppelin,Hey Hey What Can I Do,2020-12-12 03:19:00,H,Hey,4,1970
Caroline Rose,Feel The Way I Want,2020-12-12 03:23:00,F,Feel,4,2020
Delaney & Bonnie & Friends,Never Ending Song Of Love,2020-12-12 03:27:00,N,Never,6,1971
The Stooges,Down On The Street,2020-12-12 03:33:00,D,Down,4,1970
Leon Bridges,Beyond,2020-12-12 03:37:00,B,Beyond,3,2018
Supertramp,Even In The Quietest Moments,2020-12-12 03:40:00,E,Even,7,1977
Billy Joel,New York State Of Mind,2020-12-12 03:47:00,N,New,7,1976
The Blue Nile,The Downtown Lights,2020-12-12 03:54:00,T,The,7,1989
John Prine,Spanish Pipedream,2020-12-12 04:01:00,S,Spanish,2,1971
Joni Mitchell,Cactus Tree,2020-12-12 04:03:00,C,Cactus,5,1968
Pearl Jam,Corduroy,2020-12-12 04:08:00,C,Corduroy,5,2000
Smashing Pumpkins,Tonight Tonight,2020-12-12 04:13:00,T,Tonight,4,1995
Van Morrison,Someone Like You,2020-12-12 04:17:00,S,Someone,4,1987
John Lennon,Whatever Gets You Through The Night,2020-12-12 04:21:00,W,Whatever,4,1974
Neko Case,This Tornado Loves You,2020-12-12 04:25:00,T,This,3,2009
Cat Stevens,Morning Has Broken,2020-12-12 04:28:00,M,Morning,5,1971
A Tribe Called Quest,I Left My Wallet in El Segundo,2020-12-12 04:33:00,I,I,4,1989
James Taylor,You Can Close Your Eyes,2020-12-12 04:37:00,Y,You,2,1971
John Mellencamp,Rain On The Scarecrow,2020-12-12 04:39:00,R,Rain,5,1999
Nathaniel Rateliff & The Night Sweats,SOB,2020-12-12 04:44:00,S,SOB,4,2015
Los Lobos,Will The Wolf Survive?,2020-12-12 04:48:00,W,Will,4,1984
Stevie Nicks,Stop Draggin' My Heart Around,2020-12-12 04:52:00,S,Stop,4,1981
Elton John,Daniel,2020-12-12 04:56:00,D,Daniel,5,1976
Modern English,I Melt With You,2020-12-12 05:01:00,I,I,3,1982
Glen Campbell,Gentle On My Mind,2020-12-12 05:04:00,G,Gentle,3,1991
James Taylor,Carolina In My Mind,2020-12-12 05:07:00,C,Carolina,6,1968
Frank Sinatra,Strangers In The Night,2020-12-12 05:13:00,S,Strangers,3,1966
The Kinks,Til The End Of The Day,2020-12-12 05:16:00,T,Til,2,2003
John Prine,Souvenirs,2020-12-12 05:18:00,S,Souvenirs,5,1972
Willie Nelson,On The Road Again,2020-12-12 05:23:00,O,On,2,1992
The Who,Pinball Wizard,2020-12-12 05:25:00,P,Pinball,4,1976
Sheryl Crow,All I Wanna Do,2020-12-12 05:29:00,A,All,4,1995
Radiohead,Subterranean Homesick Alien,2020-12-12 05:33:00,S,Subterranean,5,1997
Pink Floyd,Sheep,2020-12-12 05:38:00,S,Sheep,10,1977
Mott The Hoople,All The Way From Memphis,2020-12-12 05:48:00,A,All,5,1973
Four Tops,"I Can't Help Myself (Sugar Pie, Honey Bunch)",2020-12-12 05:53:00,I,I,4,1974
Willie Nelson,Crazy,2020-12-12 05:57:00,C,Crazy,4,1962
Rush,Entre Nous,2020-12-12 06:01:00,E,Entre,4,1980
Beach House,Take Care,2020-12-12 06:05:00,T,Take,7,2010
The Clash,Spanish Bombs,2020-12-12 06:12:00,S,Spanish,4,1979
The Blasters,American Music,2020-12-12 06:16:00,A,American,2,1982
The Beatles,Back In The U. S. S. R.,2020-12-12 06:18:00,B,Back,4,0
Fleetwood Mac,Songbird,2020-12-12 06:22:00,S,Songbird,4,1977
Chvrches,The Mother We Share,2020-12-12 06:26:00,T,The,3,0
Paul Simon,Late In The Evening,2020-12-12 06:29:00,L,Late,4,1980
Gnarls Barkley,Crazy,2020-12-12 06:33:00,C,Crazy,5,2006
The Shins,Australia,2020-12-12 06:38:00,A,Australia,3,2007
The Who,Magic Bus,2020-12-12 06:41:00,M,Magic,4,1970
The Rolling Stones,Time Is On My Side,2020-12-12 06:45:00,T,Time,3,1964
Michael Jackson,Beat It,2020-12-12 06:48:00,B,Beat,6,1982
Low Cut Connie,Help Me,2020-12-12 06:54:00,H,Help,3,2020
Sharon Jones And The Dap-Kings,Stranger to My Happiness,2020-12-12 06:57:00,S,Stranger,4,2014
Chuck Berry,School Days,2020-12-12 07:01:00,S,School,3,1977
The Rolling Stones,Ruby Tuesday,2020-12-12 07:04:00,R,Ruby,3,1967
R. E. M.,What's The Frequency Kenneth?,2020-12-12 07:07:00,W,What's,5,1994
Dr. John,Such A Night,2020-12-12 07:12:00,S,Such,3,1973
Jefferson Airplane,Comin' Back To Me,2020-12-12 07:15:00,C,Comin',7,1967
The Stone Roses,She Bangs The Drums,2020-12-12 07:22:00,S,She,4,1989
Genesis,Abacab,2020-12-12 07:26:00,A,Abacab,6,1981
Massive Attack,Protection,2020-12-12 07:32:00,P,Protection,10,1994
The New Pornographers,Letter From An Occupant,2020-12-12 07:42:00,L,Letter,3,2000
Green Day,Jesus of Suburbia,2020-12-12 07:45:00,J,Jesus,11,2004
Dave Mason,Only You Know And I Know,2020-12-12 07:56:00,O,Only,5,1970
Vampire Weekend,Oxford Comma,2020-12-12 08:01:00,O,Oxford,3,2007
Loreena McKennitt,The Mummer's Dance,2020-12-12 08:04:00,T,The,6,1997
Elvis Presley,Can't Help Falling In Love,2020-12-12 08:10:00,C,Can't,4,1970
Radiohead,Jigsaw Falling Into Place,2020-12-12 08:14:00,J,Jigsaw,4,2007
The Police,The Bed's Too Big Without You,2020-12-12 08:18:00,T,The,6,1979
Arcade Fire,No Cars Go,2020-12-12 08:24:00,N,No,5,2003
Stevie Wonder,Joy Inside My Tears,2020-12-12 08:29:00,J,Joy,7,1976
The Doors,The Soft Parade,2020-12-12 08:36:00,T,The,10,1969
John Prine,When I Get to Heaven,2020-12-12 08:46:00,W,When,3,2018
New Order,Love Vigilantes,2020-12-12 08:49:00,L,Love,6,1985
Elton John,Empty Garden (Hey Hey Johnny),2020-12-12 08:55:00,E,Empty,5,1982
Solange,Cranes In The Sky,2020-12-12 09:00:00,C,Cranes,4,2016
Lucinda Williams,Metal Firecracker,2020-12-12 09:04:00,M,Metal,4,1998
James,Laid,2020-12-12 09:08:00,L,Laid,4,1993
Jim Croce,Time In A Bottle,2020-12-12 09:12:00,T,Time,2,1972
Prince & The Revolution,I Would Die 4 U,2020-12-12 09:14:00,I,I,3,1984
U2,A Sort Of Homecoming,2020-12-12 09:17:00,A,A,7,1984
Gordon Lightfoot,Sundown,2020-12-12 09:24:00,S,Sundown,4,1974
Jimi Hendrix,Fire,2020-12-12 09:28:00,F,Fire,2,1986
M. I. A.,Paper Planes,2020-12-12 09:30:00,P,Paper,5,0
America,Ventura Highway,2020-12-12 09:35:00,V,Ventura,3,1972
Bruce Springsteen,My City Of Ruins,2020-12-12 09:38:00,M,My,5,2001
Loggins & Messina,Angry Eyes,2020-12-12 09:43:00,A,Angry,8,1972
Crack The Sky,Ice,2020-12-12 09:51:00,I,Ice,6,1975
The Cure,In Between Days,2020-12-12 09:57:00,I,In,3,1985
Talking Heads,Born Under Punches (The Heat Goes On),2020-12-12 10:00:00,B,Born,6,1980
The Beatles,Magical Mystery Tour,2020-12-12 10:06:00,M,Magical,3,1967
The Turtles,Happy Together,2020-12-12 10:09:00,H,Happy,3,1966
Chet Baker,My Funny Valentine,2020-12-12 10:12:00,M,My,4,1992
Death Cab For Cutie,Soul Meets Body,2020-12-12 10:16:00,S,Soul,4,2005
Jeff Beck,Cause We've Ended As Lovers,2020-12-12 10:20:00,C,Cause,6,1975
Bruce Springsteen,Brilliant Disguise,2020-12-12 10:26:00,B,Brilliant,6,1987
Bob Dylan,Jokerman,2020-12-12 10:32:00,J,Jokerman,7,1983
Coldplay,The Scientist,2020-12-12 10:39:00,T,The,6,2002
Lady Gaga,Born THis Way,2020-12-12 10:45:00,B,Born,4,2011
Tom Waits,I Don't Wanna Grow Up,2020-12-12 10:49:00,I,I,3,1992
Brandi Carlile,Wherever Is Your Heart,2020-12-12 10:52:00,W,Wherever,4,2015
Beck,Lost Cause,2020-12-12 10:56:00,L,Lost,4,2002
The Buzzcocks,Why Can't I Touch It?,2020-12-12 11:00:00,W,Why,7,0
Smashing Pumpkins,Mayonaise,2020-12-12 11:07:00,M,Mayonaise,7,1993
Otis Redding,Coffee And Cigarettes,2020-12-12 11:14:00,C,Coffee,4,0
Stevie Wonder,You Haven't Done Nothin',2020-12-12 11:18:00,Y,You,3,1974
Tony Bennett,I Left My Heart In San Francisco,2020-12-12 11:21:00,I,I,5,1976
Janis Joplin,Get It While You Can,2020-12-12 11:26:00,G,Get,3,1971
Dr. Dog,That Old Black Hole,2020-12-12 11:29:00,T,That,4,2012
Donna Summer,Last Dance,2020-12-12 11:33:00,L,Last,3,1978
Brook Benton,Rainy Night In Georgia,2020-12-12 11:36:00,R,Rainy,5,1991
Fleetwood Mac,Sara,2020-12-12 11:41:00,S,Sara,4,1979
Steely Dan,Don't Take Me Alive,2020-12-12 11:45:00,D,Don't,4,1976
The Beatles,Twist & Shout,2020-12-12 11:49:00,T,Twist,4,1976
Todd Rundgren,A Dream Goes On Forever,2020-12-12 11:53:00,A,A,2,1974
Eric Clapton,Let It Grow,2020-12-12 11:55:00,L,Let,6,1974
Van Morrison,When The Leaves Come Falling Down,2020-12-12 12:01:00,W,When,6,1999
Tommy James & The Shondells,Crimson & Clover,2020-12-12 12:07:00,C,Crimson,7,1967
Sigur Ros,HoppÃ­polla,2020-12-12 12:14:00,H,HoppÃ,4,0
Robert Johnson,Cross Road Blues,2020-12-12 12:18:00,C,Cross,3,1961
The Ramones,Blitzkrieg Bop,2020-12-12 12:21:00,B,Blitzkrieg,3,1988
Keane,Somewhere Only We Know,2020-12-12 12:24:00,S,Somewhere,4,2004
Joni Mitchell,Free Man In Paris,2020-12-12 12:28:00,F,Free,3,1974
INXS,Never Tear Us Apart,2020-12-12 12:31:00,N,Never,3,1987
Heart,Crazy On You,2020-12-12 12:34:00,C,Crazy,7,1975
Glen Hansard & Marketa Irglova,Falling Slowly,2020-12-12 12:41:00,F,Falling,4,2006
Dan Fogelberg,Same Old Lang Syne,2020-12-12 12:45:00,S,Same,5,1981
Chicago,Make Me Smile,2020-12-12 12:50:00,M,Make,5,1970
The Beatles,I've Just Seen A Face,2020-12-12 12:55:00,I,I've,2,1965
Patsy Cline,She's Got You,2020-12-12 12:57:00,S,She's,3,1963
Dusty Springfield,Son Of A Preacher Man,2020-12-12 13:00:00,S,Son,3,1979
War,All Day Music,2020-12-12 13:03:00,A,All,4,1971
Counting Crows,Mrs. Potter's Lullaby,2020-12-12 13:07:00,M,Mrs,10,1999
Simon & Garfunkel,Bookends Theme,2020-12-12 13:17:00,B,Bookends,1,1968
The Eagles,Ol' 55,2020-12-12 13:18:00,O,Ol',4,0
Sly & The Family Stone,Family Affair,2020-12-12 13:22:00,F,Family,4,1991
Sam Cooke,Twistin' The Night Away,2020-12-12 13:26:00,T,Twistin',3,1962
The Rolling Stones,Torn And Frayed,2020-12-12 13:29:00,T,Torn,4,1972
Bronski Beat,Smalltown Boy,2020-12-12 13:33:00,S,Smalltown,6,1995
Joe Walsh,Welcome To The Club,2020-12-12 13:39:00,W,Welcome,6,1974
Kurt Vile,Wakin' On A Pretty Day,2020-12-12 13:45:00,W,Wakin',11,2013
David Essex,Rock On,2020-12-12 13:56:00,R,Rock,4,1973
The Velvet Underground,All Tomorrow's Parties,2020-12-12 14:00:00,A,All,6,1966
Hall & Oates,Rich Girl,2020-12-12 14:06:00,R,Rich,2,1978
Tame Impala,Elephant,2020-12-12 14:08:00,E,Elephant,4,2012
Richard Thompson,Tear Stained Letter,2020-12-12 14:12:00,T,Tear,7,1983
The Dells,There Is,2020-12-12 14:19:00,T,There,3,1968
Natalie Merchant,Ophelia,2020-12-12 14:22:00,O,Ophelia,5,1998
Nathaniel Rateliff,And It's Still Alright,2020-12-12 14:27:00,A,And,6,2020
