I Against I,Bad Brains
I Knew The Bride (When She Used To Rock & Roll),Dave Edmunds
I Knew The Bride When She Used To Rock & Roll,Nick Lowe
I Know,Bonnie Raitt
I Know,Shovels & Rope
I Know A Little,Lynyrd Skynyrd
I Know It's Wrong (But That's Alright),Hurray For The Riff Raff
I Know There's An Answer,The Beach Boys
I Know What Boys Like,The Waitresses
I Know What I Like,Genesis
I Know You Got Soul,Bobby Byrd
I Learned The Hard Way,Sharon Jones And The Dap-Kings
I Left My Heart In San Francisco,Tony Bennett
I Left My Wallet In El Segundo,A Tribe Called Quest
I Live Alone,Sonia Dada
I Looked Away,Derek & The Dominos
I Love A Man In Uniform,Gang Of Four
I Love Music,The O'Jays
I Love Rock & Roll,Joan Jett And The Blackhearts
I Love You Goodbye,Thomas Dolby
I Love You More Than You'll Ever Know,Blood Sweat & Tears
I Love You Suzanne,Lou Reed
I Loves You Porgy,Nina Simone
I Me Mine,The Beatles
I Melt With You,Modern English
I Melt With You,Nouvelle Vague
I Might,Wilco
I Might Be Crying,Tanita Tikaram
I Might Be Wrong,Radiohead
I Misunderstood,Richard Thompson
I Must Be High,Wilco
I Need A Beat,LL Cool J
I Need A Dollar (How To Make It In America),Aloe Blacc
I Need A Man To Love,Big Brother & The Holding Company
I Need A Miracle,Grateful Dead
I Need Love,LL Cool J
I Need Love,Luka Bloom
I Need Love,Sam Phillips
I Need Never Get Old,Nathaniel Rateliff & The Night Sweats
I Need To Know,Tom Petty & The Heartbreakers
I Need You,The Beatles
I Need Your Love In My Life,Solomon Burke
I Never Loved a Man (The Way I Love You),Aretha Franklin
I Only Have Eyes For You,The Flamingos
I Only Want To Be With You,Dusty Springfield
I Pity The Fool,"Bobby ""Blue"" Bland"
I Put A Spell On You,Screamin' Jay Hawkins
I Ran (So Far Away),A Flock Of Seagulls
I Robot,The Alan Parsons Project
I Saw the Light,Todd Rundgren
I Say A Little Prayer,Dionne Warwick
I Scare Myself,Dan Hicks & The Hot Licks
I Second That Emotion,Smokey Robinson & The Miracles
I See The Light,Hot Tuna
I Shall Be Released,The Band
I Shot The Sheriff,Bob Marley & The Wailers
I Shot The Sheriff,Eric Clapton
I Should Have Known Better,The Beatles
I Started A Joke,Bee Gees
I Still Haven't Found What I'm Looking For,U2
I Still Miss Someone,Johnny Cash
I Talk To The Wind,King Crimson
I Thank You,Bonnie Raitt
I Thank You,Sam & Dave
I Thank You,ZZ Top
I Think It's Going To Rain Today,Randy Newman
I Think She Likes Me,Treat Her Right
I Think We're Alone Now,Tommy James & The Shondells
I Thought I Was A Child,Jackson Browne
I Touch Myself,Divinyls
I Try,Macy Gray
I Turn My Camera On,Spoon
I Used To Could,Mark Knopfler
I Walk On Gilded Splinters,Dr. John
I Walk The Line,Johnny Cash
I Wanna Be,B. B. King & Eric Clapton
I Wanna Be Adored,The Stone Roses
I Wanna Be Sedated,The Ramones
I Wanna Be With You,The Raspberries
I Wanna Be Your Lover,Prince
I Wanna Destroy You,The Soft Boys
I Wanna Marry You,Bruce Springsteen
I Wanna Stay Home,Jellyfish
I Want Candy,Bow Wow Wow
I Want Candy,The Strangeloves
I Want To Hold Your Hand,The Beatles
I Want To See The Bright Lights Tonight,Richard Thompson
I Want To Sing That Rock And Roll,Gillian Welch
I Want To Take You Higher,Sly & The Family Stone
I Want To Tell You,The Beatles
I Want You,Bob Dylan
I Want You (She's So Heavy),The Beatles
I Want You Back,Hoodoo Gurus
I Want You Back,Jackson 5
I Want You Bad,NRBQ
I Want You To Want Me,Cheap Trick
I Was A Lover,TV On The Radio
I Was Made To Love Her,Stevie Wonder
I Will Dare,The Replacements
I Will Follow,U2
I Will Possess Your Heart,Death Cab For Cutie
I Will Survive,Cake
I Will Survive,Gloria Gaynor
I Will Wait,Mumford & Sons
I Wish,Stevie Wonder
I Wish It Would Rain,The Temptations
I Won't Back Down,Tom Petty
I Would Die 4 U,Prince & The Revolution
I Wouldn't Want To Be Like You,The Alan Parsons Project
I Zimbra,Talking Heads
I.G.Y.,Donald Fagen
I-76,G Love & Special Sauce
Ice Cream,Battles
Icehouse,Icehouse
I'd Have You Anytime,George Harrison
I'd Love To Change The World,Ten Years After
I'd Rather Go Blind,Etta James
I'd Run Away,The Jayhawks
I'd Wait A Million Years,The Grass Roots
Idiot Wind,Bob Dylan
If A Tree Falls,Bruce Cockburn
If I Can't Change Your Mind,Sugar
If I Could Build My Whole World Around You,Marvin Gaye & Tammi Terrell
If I Didn't Love You,Squeeze
If I Ever Lose My Faith In You,Sting
If I Fell,The Beatles
"If I Had $1,000,000",Barenaked Ladies
If I Had A Boat,Lyle Lovett
If I Had A Hammer (the Hammer Song),Pete Seeger
If I Had A Rocket Launcher,Bruce Cockburn
If I Had My Way,Robert Randolph & The Family Band
If I Loved You,Delta Rae
If I Needed Someone,The Beatles
If I Should Fall Behind,Bruce Springsteen
If I Wanted Someone,Dawes
If I Were A Carpenter,Tim Hardin
If It Makes You Happy,Sheryl Crow
If Not For You,Bob Dylan
If Not For You,George Harrison
If That's Your Boyfriend (He Wasn't Last Night),Me'shell Ndegeocello
If There's Love,Citizen Cope
If You Can't Rock Me,The Rolling Stones
If You Can't Say No,Lenny Kravitz
If You Could Read My Mind,Gordon Lightfoot
If You Don't Know Me By Now,Harold Melvin & The Bluenotes
IF You Have Ghosts,Roky Erickson & The Aliens
If You Love Somebody,Sting
If You Leave Me Now,Chicago
If You Really Love Me,Stevie Wonder
If You Really Want To Be My Friend,The Rolling Stones
If You Want Me To Stay,Sly & The Family Stone
If You Want My Love,Cheap Trick
If You Want To Get To Heaven,Ozark Mountain Daredevils
If You're Ready (Come Go With Me),The Staple Singers
Iko Iko,Dr. John
I'll Always Love My Mama,The Intruders
I'll Be Around,The Spinners
I'll Be Long Gone,Boz Scaggs
I'll Be There,Jackson 5
I'll Be You,The Replacements
I'll Be Your Baby Tonight,Bob Dylan
I'll Be Your Mirror,The Velvet Underground & Nico
I'll Go Crazy If I Don't Go Crazy Tonight,U2
I'll Never Fall In Love Again,Dionne Warwick
I'll Sleep When I'm Dead,Warren Zevon
I'll Take You There,The Staple Singers
Illegal Smile,John Prine
I'm A Believer,The Monkees
I'm A Believer,Tin Huey
I'm A Loser,The Beatles
I'm A Love You,Jimmy Reed
I'm A Man,Chicago Transit Authority
I'm A Man,The Spencer Davis Group
I'm A Midnight Mover,Wilson Pickett
I'm A Rocker,Bruce Springsteen
I'm Alive,Jackson Browne
I'm Alive,The Hooters
I'm Alright,Kim Richey
I'm Amazed,My Morning Jacket
I'm Broke,Black Joe Lewis & The Honeybears
I'm Coming Out,Diana Ross
I'm Diggin' You (Like An Old Soul Record),Me'shell Ndegeocello
I'm Doin' Fine Now,New York City
I'm Down,The Beatles
I'm Eighteen,Alice Cooper
I'm Free,Soup Dragons
I'm Free,The Rolling Stones
I'm Free,The Who
I'm From New Jersey,John Gorka
I'm Getting Ready,Michael Kiwanuka
I'm Going Home,Ten Years After
I'm Gonna Be A Wheel Someday,Fats Domino
I'm Gonna Make You Love Me,The Jayhawks
I'm Gonna Make You Love Me,The Temptations
I'm Gonna Soothe You,Maria McKee
I'm Happy Just To Dance With You,The Beatles
I'm In Love With My Car,Queen
I'm In The Mood,John Lee Hooker
I'm Just A Singer (in A Rock And Roll Band),The Moody Blues
I'm Looking Through You,The Beatles
I'm Losing You,John Lennon
I'm Lucky,Joan Armatrading
I'm Not In Love,10cc
I'm Not Gonna Teach Your Boyfriend How To Dance With You,Black Kids
I'm Not The Man I Used To Be,Fine Young Cannibals
I'm Not The Only One,Sam Smith
I'm On Fire,Bruce Springsteen
I'm On Fire,Dwight Twilley Band
I'm Only Sleeping,The Beatles
I'm Ready,Muddy Waters
I'm Shakin',Little Willie John
I'm Shakin',The Blasters
I'm So Glad,Cream
I'm So Lonesome I Could Cry,Hank Williams
I'm So Tired,The Beatles
I'm Still In Love With You,Al Green
I'm The Man,Joe Jackson
I'm The Man Who Murdered Love,XTC
I'm Throwing My Arms Around Paris,Morrissey
I'm Tore Down,Eric Clapton
I'm Tore Down,Freddie King
I'm Waiting For The Man,The Velvet Underground & Nico
I'm Walkin',Fats Domino
I'm Writing a Novel,Father John Misty
I'm Your Boogie Man,KC & The Sunshine Band
I'm Your Captain,Grand Funk Railroad
I'm Your Man,Leonard Cohen
Imagine,John Lennon
Imitation Of Life,R. E. M.
Immigrant Song,Led Zeppelin
Impossible Germany,Wilco
In A Big Country,Big Country
In-a-gadda-da-vida,Iron Butterfly
In A Little While,U2
In Between Days,The Cure
In Bloom,Nirvana
In Dreams,Roy Orbison
In France They Kiss On Main Street,Joni Mitchell
In Memory Of Elizabeth Reed,The Allman Brothers
In My Life,The Beatles
In My Place,Coldplay
In My Room,The Beach Boys
In Sleep,Lissie
In The Air Tonight,Phil Collins
In The Evening,Led Zeppelin
In The Gallery,Dire Straits
In The Land Of Grey And Pink,Caravan
In The Midnight Hour,Wilson Pickett
In The Rain,The Dramatics
In The Shape Of A Heart,Jackson Browne
In The Summertime,Mungo Jerry
In The Sun,Joseph Arthur
In The Sun,She & Him
In The Aeroplane Over The Sea,Neutral Milk Hotel
In The Wee Small Hours Of The Morning,Frank Sinatra
In The Year 2525 (Exordium & Terminus),Zager & Evans
In These Shoes?,Kirsty MacColl
In This House That I Call Home,X
In Time,Sly & The Family Stone
In Your Eyes,Peter Gabriel
Incense And Peppermints,Strawberry Alarm Clock
Incident on 57th St,Bruce Springsteen
Indoor Fireworks,Elvis Costello
Industrial Disease,Dire Straits
Inner City Blues,Marvin Gaye
Innocent When You Dream (Bar Room),Tom Waits
Inspiration Information,Shuggie Otis
Instant Karma!,John Lennon
Interstate Love Song,Stone Temple Pilots
Interstellar Overdrive,Pink Floyd
Into The Fire,Bruce Springsteen
Into The Fire,Sarah McLachlan
Into The Great Wide Open,Tom Petty
Into The Groove,Madonna
Into The Mystic,Van Morrison
Into You Like A Train,Psychedelic Furs
Into Your Arms,The Lemonheads
Invisible Sun,The Police
"Irish Blood, English Heart",Morrissey
Iron Lion Zion,Bob Marley & The Wailers
Iron Man,Black Sabbath
Ironic,Alanis Morissette
Is It A Star,Hall & Oates
Is It Any Wonder,Keane
Is It Like Today?,World Party
Is She Really Going Out With Him,Joe Jackson
Is There A Ghost,Band Of Horses
Is This Love,Bob Marley & The Wailers
Is You Is Or Is You Ain't My Baby,Dinah Washington
Is Your Love Big Enough?,Lianne La Havas
Is Your Love In Vain?,Bob Dylan
Isis,Bob Dylan
Isn't It A Pity,George Harrison
Isn't She Lovely,Stevie Wonder
Israelites,Desmond Dekker
Istanbul (Not Constantinople),They Might Be Giants
It Ain't Easy,David Bowie
It Ain't Me Babe,Bob Dylan
It Ain't Me Babe,Johnny Cash & June Carter Cash
It Ain't No Use,The Meters
It Ain't Over Til It's Over,Lenny Kravitz
It Came Out Of The Sky,Creedence Clearwater Revival
It Don't Come Easy,Ringo Starr
It Hurt So Bad,Susan Tedeschi
It Hurts Me Too,Elmore James
It Keeps You Runnin',The Doobie Brothers
It Makes No Difference,My Morning Jacket
It Makes No Difference,The Band
It Must Be Love,Rickie Lee Jones
It Must Have Been The Roses,Jerry Garcia
"It Takes A lot To Laugh, It Takes A Train To Cry",Bob Dylan
It Was A Good Day,Ice Cube
It Wouldn't Have Made Any Difference,Todd Rundgren
Itchycoo Park,Small Faces
It's 2 A. M.,Shemekia Copeland
It's A Big Old Goofy World,John Prine
It's a Laugh,Hall & Oates
It's A Long Way To The Top (If You Wanna Rock 'n' Roll),AC/DC
It's A Mistake,Men At Work
It's A Shame,The Spinners
It's A Shame About Ray,The Lemonheads
It's About Time,The Lemonheads
It's All Been Done,Barenaked Ladies
It's All Over Now,Rod Stewart
"It's All Over Now, Baby Blue",Bob Dylan
"It's All Over Now, Baby Blue",The Byrds
It's All Too Much,The Beatles
It's Alright,Big Head Todd & The Monsters
It's Alright,Hound Dog Taylor And The Houserockers
It's Alright,The Impressions
It's Alright,Indigo Girls
It's Alright Ma (I'm Only Bleeding),Bob Dylan
It's Bad You Know,R. L. Burnside
It's Hard To Be A Saint In The City,Bruce Springsteen
It's Late,Queen
It's Lonely At The Top,Randy Newman
It's My Life,Talk Talk
It's My Life,The Animals
"It's My Life, Baby",Johnny Winter
It's No Secret,Jefferson Airplane
It's Not Unusual,Tom Jones
It's Only Life,Danielia Cotton
It's Only Life,The Shins
It's Only Natural,Crowded House
It's Only Rock'n Roll (But I Like It),The Rolling Stones
It's Probably Me,Sting
It's The End Of The World As We Know It (And I Feel Fine),R. E. M.
It's Too Late,Carole King
It's Tricky,Run-DMC
It's Wonderful,The Rascals
It's Your Thing,The Isley Brothers
I've Been Everywhere,Johnny Cash
I've Been Lonely For So Long,Frederick Knight
I've Been Loving You (too Long),Otis Redding
I've Been Loving You Too Long (To Stop Now),Cat Power
I've Been To Memphis,Lyle Lovett
I've Been Waiting,Matthew Sweet
I've Been Working,Van Morrison
I've Got A Feeling,The Beatles
I've Got Dreams To Remember,Otis Redding
I've Got This Friend,The Civil Wars
I've Got To Get A Message To You,Bee Gees
I've Got You Under My Skin,Frank Sinatra
I've Loved These Days,Billy Joel
I've Just Seen A Face,The Beatles
I've Never Found A Girl (Who Loves Me Like You Do),Al Green
I've Seen All Good People,Yes
