Title,Artist
Reelin' & Rockin',Chuck Berry
Reelin' In The Years,Steely Dan
Reet Petite (Finest Girl You Ever Wanna Meet),Jackie Wilson
Reflections,Diana Ross & The Supremes
Reflections Of My Life,Marmalade
Reflektor,Arcade Fire
Refuge Of The Roads,Joni Mitchell
Refugee,Tom Petty & The Heartbreakers
Reggae Music,Jimmy Cliff
Reggae On Broadway,Johnny Nash
Rehab,Amy Winehouse
Relax,Frankie Goes To Hollywood
Release,Afro Celt Sound System
Remedy,The Black Crowes
Remember (Walkin' In The Sand),The Shangri-La's
Rent I Pay,Spoon
Repo Man,Ray Lamontagne & The Pariah Dogs
Requiem Pour Un Con,Serge Gainsbourg
Rescue Me,Fontella Bass
Respect,Aretha Franklin
Respect,Otis Redding
Respect Yourself,The Staple Singers
Respectable,The Rolling Stones
Respectable Street,XTC
Rest Of My Days,Indigenous
Restless,New Order
Return Of The Grievous Angel,Gram Parsons
Return To The Moon,EL VY
Rev It Up,Jerry Harrison
Reva's House,Los Lobos
Revival,The Allman Brothers
Revolution,Dr. John
Revolution,Eric Clapton
Revolution,Los Lobos
Revolution,The Beatles
Revolution 9,The Beatles
Revolution Blues,Neil Young
Revolutionary Kind,Gomez
Rhiannon,Fleetwood Mac
Rhumba Man,Jesse Winchester
Rhythm & Blues,The Head And The Heart
Rich Girl,Hall & Oates
Ricochet In Time,Shawn Colvin
Ride A White Swan,T Rex
Ride My See-saw,The Moody Blues
Ride On Josephine,Bo Diddley
Ride The Tiger,Jefferson Starship
Riders On The Storm,The Doors
Ridgetop,Jesse Colin Young
Ridin' In My Car,NRBQ
Riding On The Back,Francis Dunnery
Riding With The King,B. B. King & Eric Clapton
Right As Rain,Adele
Right Down The Line,Gerry Rafferty
Right Hand Man,Joan Osborne
"Right Here, Right Now",Cassandra Wilson
"Right Here, Right Now",Jesus Jones
Right Moves,Josh Ritter
Right On The Tip Of My Tongue,Brenda & The Tabulations
Right Place Wrong Time,Dr. John
Right To Be Wrong,Joss Stone
Righteously,Lucinda Williams
Rikki Don't Lose That Number,Steely Dan
Ring My Bell,Anita Ward
Ring of Fire,Johnny Cash
Ring of Fire,Wall Of Voodoo
Riot In Cell Block Number Nine,Wanda Jackson
Rip It Up,Little Richard
Ripple,Grateful Dead
Rise,Public Image Ltd.
Rita Mae Young,The Record Company
River Deep Mountain High,Ike & Tina Turner
Riverman,Nick Drake
Rivers of Babylon,The Melodians
Riviera Paradise,Stevie Ray Vaughan
Road to Nowhere,Talking Heads
Roadhouse Blues,The Doors
Roadrunner,Jr. Walker & The All-Stars
Roadrunner,The Modern Lovers
Roads To Moscow,Al Stewart
Roam,B-52's
"Robbery, Assault & Battery",Genesis
Rock & Roll,The Velvet Underground
Rock & Roll All Nite,Kiss
Rock & Roll Music,Chuck Berry
Rock And Roll,Led Zeppelin
Rock And Roll Ain't Noise Pollution,AC/DC
Rock And Roll Doctor,Little Feat
"Rock and Roll, Hoochie Koo",Rick Derringer
Rock And Roll Is Here To Stay,Danny & The Juniors
Rock And Roll Stew,Traffic
Rock And Roll Woman,Buffalo Springfield
Rock Around The Clock,Bill Haley & His Comets
Rock Lobster,B-52's
Rock Me,Muddy Waters
Rock Me On The Water,Jackson Browne
Rock N Roll Band,Boston
Rock 'n' Roll Lifestyle,Cake
Rock N Roll Star,Oasis
Rock On,David Essex
Rock On,T Rex
Rock Steady,Alton Ellis & The Flames
Rock Steady,Aretha Franklin
Rock The Boat,Hues Corporation
Rock The Casbah,The Clash
Rock This Town,Stray Cats
Rock With You,Michael Jackson
Rockaria!,Electric Light Orchestra
Rockaway Beach,The Ramones
Rocket 88,Jackie Breston & His Delta Cats
Rocket In My Pocket,Little Feat
Rocket Man,Elton John
Rockin' Around (With You),Tom Petty & The Heartbreakers
Rockin' At Midnight,Roy Brown
Rockin' In The Free World,Neil Young
Rockin' Pneumonia,Larry Williams
Rocks Off,The Rolling Stones
Rocky Mountain High,John Denver
Rocky Mountain Way,Joe Walsh
Rodeo Clowns,G Love & Special Sauce
Roland The Headless Thompson Gunner,Warren Zevon
Roll Another Number (For The Road),Neil Young
Roll Away The Stone,Leon Russell
Roll Away The Stone,Mott The Hoople
Roll Away Your Stone,Mumford & Sons
Roll Over Beethoven,Chuck Berry
Roll Over Beethoven,Electric Light Orchestra
Roll To Me,Del Amitri
Roll Um Easy,Little Feat
Roll Up Your Sleeves,Meg Mac
Roll With It,Oasis
Roll With The Punches,Dawes
Roller,Quilt
Rollin' Stone,Muddy Waters
Rollin' Tumblin' (remix),R. L. Burnside
Rolling In The Deep,Adele
Romeo & Juliet,Dire Straits
Romeo & Juliet,Indigo Girls
Romeo's Tune,Steve Forbert
Room To Move,John Mayall
"Roots, Rock, Reggae",Bob Marley & The Wailers
Rosalita,Bruce Springsteen
Rose Rouge,St. Germain
Rosie,Jackson Browne
Rough Boys,Pete Townshend
Rough God Goes Riding,Van Morrison
Round & Round (It Won't Be Long),Neil Young
Round Here,Counting Crows
Round Of Blues,Shawn Colvin
Roundabout,Yes
Roxanne,The Police
Rubberband Girl,Kate Bush
Rubberband Man,The Spinners
Rubberneckin',Elvis Presley
Rubin & Cherise,Jerry Garcia
Ruby,Kaiser Chiefs
Ruby Tuesday,The Rolling Stones
Rudie Can't Fail,The Clash
"Rudy, A  Message To You",The Specials
Rumble,Link Wray
Rumor Has It,Adele
Run,Snow Patrol
Run Around,Blues Traveler
Run For Your Life,The Beatles
Run On,Moby
Run Runaway,Slade
Run Through The Jungle,Creedence Clearwater Revival
Runaway,Del Shannon
"Runaway Child, Running Wild",The Temptations
Runaway Train,Soul Asylum
Runaways,The Killers
Runnin' Down A Dream,Tom Petty
Running On Empty,Jackson Browne
Running Out Of Time,Amos Lee
Running Out Of Time,Joan Osborne
Running Scared,Roy Orbison
Running Up That Hill,Kate Bush
