Title,Artist,Air Time
Baby Blue,Badfinger,2017-11-29 21:31:00
Baby Boomerang,T Rex,2017-11-29 21:34:00
Baby Come Back,Player,2017-11-29 21:37:00
Baby Don't Get Hooked On Me,Mac Davis,2017-11-29 21:40:00
Baby Don't You Know,Wild Cherry,2017-11-29 21:43:00
Baby Hold On,Eddie Money,2017-11-29 21:49:00
Baby I Love You,Dave Edmunds,2017-11-29 21:53:00
Baby I'm A-Want You,Bread,2017-11-29 21:57:00
Baby Lemonade,Syd Barrett,2017-11-29 22:00:00
Baby Let's Swing/The Last Thing You Said/Don't Tie My Hands,Todd Rundgren,2017-11-29 22:04:00
Baby Stop Crying,Bob Dylan,2017-11-29 22:11:00
"Baby, I Need Your Loving",The Heptones,2017-11-29 22:16:00
Baby's A Rock N' Roller,Tom Petty & The Heartbreakers,2017-11-29 22:22:00
Babylon,New York Dolls,2017-11-29 22:24:00
Back In '72,Bob Seger,2017-11-29 22:28:00
Back In Love Again,L.T.D.,2017-11-29 22:32:00
Back In N.Y.C.,Genesis,2017-11-29 22:38:00
Back In Our Minds,Funkadelic,2017-11-29 22:43:00
Back In The Saddle,Aerosmith,2017-11-29 22:46:00
Back In The USA,MC5,2017-11-29 22:51:00
Back It Up,Nils Lofgren,2017-11-29 22:54:00
Back Of A Car,Big Star,2017-11-29 22:57:00
Back Of My Hand,The Jags,2017-11-29 22:59:00
Back Off Boogaloo,Ringo Starr,2017-11-29 23:03:00
Back Stabbers,The O'Jays,2017-11-29 23:06:00
Back Street Luv,Curved Air,2017-11-29 23:11:00
Back To Schooldays,Graham Parker & The Rumor,2017-11-29 23:14:00
Back To The Island,Leon Russell,2017-11-29 23:17:00
Backs Turned Looking Down The Path,Warren Zevon,2017-11-29 23:22:00
Backstreets,Bruce Springsteen,2017-11-29 23:25:00
Bad 'N' Ruin,Faces,2017-11-29 23:31:00
Bad Blood,Neil Sedaka,2017-11-29 23:38:00
Bad Case of Loving You,Moon Martin,2017-11-29 23:41:00
Bad Company,Bad Company,2017-11-29 23:45:00
Bad Girls,Donna Summer,2017-11-29 23:51:00
Bad Liver And A Broken Heart (In Lowell),Tom Waits,2017-11-29 23:55:00
Bad Luck,Harold Melvin & The Bluenotes,2017-11-30 00:00:00
Bad Motor Scooter,Montrose,2017-11-30 00:06:00
Bad Penny,Rory Gallagher,2017-11-30 00:10:00
Bad Sneakers,Steely Dan,2017-11-30 00:14:00
Bad Time,Grand Funk Railroad,2017-11-30 00:18:00
"Bad, Bad Leroy Brown",Jim Croce,2017-11-30 00:21:00
Badlands,Bruce Springsteen,2017-11-30 00:24:00
Baker Street,Gerry Rafferty,2017-11-30 00:28:00
Ball Of Confusion,The Temptations,2017-11-30 00:34:00
Ballad Of A Well-Known Gun,Elton John,2017-11-30 00:39:00
Ballad Of El Goodo,Big Star,2017-11-30 00:44:00
Ballrooms Of Mars,T Rex,2017-11-30 00:48:00
Baltimore,Randy Newman,2017-11-30 00:52:00
Banapple Gas,Cat Stevens,2017-11-30 00:56:00
Band Of Gold,Freda Payne,2017-11-30 01:00:00
Band On The Run,Paul McCartney & Wings,2017-11-30 01:02:00
Bang A Gong (Get It On),T Rex,2017-11-30 01:08:00
Barbecutie,Sparks,2017-11-30 01:12:00
Bare Trees,Fleetwood Mac,2017-11-30 01:17:00
Bargain,The Who,2017-11-30 01:22:00
Barracuda,Heart,2017-11-30 01:27:00
Barrytown,Steely Dan,2017-11-30 01:31:00
Basketball Jones,Cheech & Chong,2017-11-30 01:35:00
Bastard,Ian Hunter,2017-11-30 01:39:00
Bastille Day,Rush,2017-11-30 01:45:00
Bat Out Of Hell,Meatloaf,2017-11-30 01:51:00
Battery Brides,XTC,2017-11-30 02:01:00
Battle Of Evermore,Led Zeppelin,2017-11-30 02:06:00
Be,Slade,2017-11-30 02:11:00
Be Free,Loggins & Messina,2017-11-30 02:15:00
Be Nice To Me,Todd Rundgren,2017-11-30 02:22:00
Be Thankful,Donovan Carless,2017-11-30 02:26:00
Be Thankful For What You Got,William DeVaughn,2017-11-30 02:29:00
Be-Bop-A-Lula,John Lennon,2017-11-30 02:35:00
Beanie G. & The Rose Tattoo,Hall & Oates,2017-11-30 02:38:00
Beast Of Burden,The Rolling Stones,2017-11-30 02:42:00
Beat Down Babylon,Junior Byles,2017-11-30 02:46:00
Beat On The Brat,The Ramones,2017-11-30 02:50:00
Beautiful,Carole King,2017-11-30 02:52:00
Beautiful Brother Of Mine,Curtis Mayfield,2017-11-30 02:56:00
Beautiful Sunday,Daniel Boone,2017-11-30 03:03:00
Beauty And The Beast,David Bowie,2017-11-30 03:07:00
Beauty Queen,Roxy Music,2017-11-30 03:10:00
Becalmed,Brian Eno,2017-11-30 03:15:00
Because The Night,Patti Smith,2017-11-30 03:18:00
Been Down So Long,The Doors,2017-11-30 03:21:00
Been To Caanan,Carole King,2017-11-30 03:26:00
Before The Deluge,Jackson Browne,2017-11-30 03:29:00
Before the Next Teardrop Falls,Freddy Fender,2017-11-30 03:36:00
Before They Make Me Run,The Rolling Stones,2017-11-30 03:38:00
Behind Blue Eyes,The Who,2017-11-30 03:42:00
Bela Lugosi's Dead,Bauhaus,2017-11-30 03:46:00
Believe In Me,Todd Rundgren,2017-11-30 03:56:00
Bell Bottom Blues,Derek & The Dominos,2017-11-30 03:58:00
Bell Boy,The Who,2017-11-30 04:03:00
Ben,Michael Jackson,2017-11-30 04:08:00
Benedictus,Strawbs,2017-11-30 04:11:00
Bennie and the Jets,Elton John,2017-11-30 04:15:00
Bermuda Triangle,Fleetwood Mac,2017-11-30 04:20:00
Bertha,Grateful Dead,2017-11-30 04:24:00
Best Of Both Worlds,Robert Palmer,2017-11-30 04:31:00
Best Of My Love,The Emotions,2017-11-30 04:34:00
Best Thing That Ever Happened To Me,Gladys Knight & the Pips,2017-11-30 04:39:00
Betcha By Golly Wow,The Stylistics,2017-11-30 04:43:00
Beth,Kiss,2017-11-30 04:46:00
Betrayal Takes Two,Richard Hell & The Voidoids,2017-11-30 04:49:00
"Better By You, Better Than Me",Judas Priest,2017-11-30 04:52:00
Between The Sheets,The Isley Brothers,2017-11-30 04:56:00
Beware Of Darkness,George Harrison,2017-11-30 05:02:00
Bicycle Race,Queen,2017-11-30 05:05:00
Big Bad Bill Is Sweet William Now,Ry Cooder,2017-11-30 05:09:00
Big Bottom,Spinal Tap,2017-11-30 05:12:00
Big Chief,Dr. John,2017-11-30 05:16:00
Big Day,Phil Manzanera,2017-11-30 05:19:00
Big Eyed Beans From Venus,Captain Beefheart,2017-11-30 05:23:00
"Big Kick, Plain Scrap!",Nick Lowe,2017-11-30 05:27:00
Big Road,Bonnie Raitt,2017-11-30 05:30:00
Big White Cloud,John Cale,2017-11-30 05:33:00
Big Yellow Taxi,Joni Mitchell,2017-11-30 05:37:00
Billericay Dickie,Ian Dury & The Blockheads,2017-11-30 05:39:00
Billion Dollar Babies,Alice Cooper,2017-11-30 05:43:00
Billy The Kid,Ry Cooder,2017-11-30 05:47:00
"Billy, Don't Be A Hero",Bo Donaldson & The Heywoods,2017-11-30 05:51:00
Biloxi,Jesse Winchester,2017-11-30 05:55:00
Bio,Chuck Berry,2017-11-30 05:58:00
Birdland,Patti Smith,2017-11-30 06:05:00
Birdland,Weather Report,2017-11-30 06:17:00
Birds Of Fire,Mahavishnu Orchestra,2017-11-30 06:23:00
Birmingham,Randy Newman,2017-11-30 06:28:00
Bitch,The Rolling Stones,2017-11-30 06:31:00
Bitches Brew,Miles Davis,2017-11-30 06:36:00
Bite The Bullet,Neil Young,2017-11-30 07:04:00
Bitterblue,Cat Stevens,2017-11-30 07:10:00
Black And White,Three Dog Night,2017-11-30 07:13:00
Black Betty,Ram Jam,2017-11-30 07:20:00
Black Cloud,Trapeze,2017-11-30 07:24:00
Black Country Rock,David Bowie,2017-11-30 07:31:00
Black Cow,Steely Dan,2017-11-30 07:37:00
Black Crow,Joni Mitchell,2017-11-30 07:42:00
Black Dog,Led Zeppelin,2017-11-30 07:49:00
Black Eyed Bruiser,Stevie Wright,2017-11-30 07:54:00
Black Friday,Steely Dan,2017-11-30 08:00:00
Black Magic Woman/Gypsy Queen,Santana,2017-11-30 08:03:00
Black Maria,Todd Rundgren,2017-11-30 08:11:00
Black Market,Weather Report,2017-11-30 08:17:00
Black Rose,Waylon Jennings,2017-11-30 08:26:00
Black Sabbath,Black Sabbath,2017-11-30 08:28:00
Black Water,The Doobie Brothers,2017-11-30 08:34:00
Blame It On Cain,Elvis Costello,2017-11-30 08:42:00
Blame It On The Boogie,The Jacksons,2017-11-30 08:45:00
Blank Generation,Richard Hell & The Voidoids,2017-11-30 08:50:00
Bleeding,Todd Rundgren,2017-11-30 08:53:00
Blessed Relief,Frank Zappa,2017-11-30 08:58:00
Blinded By The Light,Bruce Springsteen,2017-11-30 09:06:00
Blinded By The Light,Manfred Mann,2017-11-30 09:11:00
Blitzkrieg Bop,The Ramones,2017-11-30 09:22:00
Blockhead,Devo,2017-11-30 09:25:00
Blockheads,Ian Dury & The Blockheads,2017-11-30 09:28:00
Blondes Have More Fun,Rod Stewart,2017-11-30 09:31:00
Bloody Mary Morning,Willie Nelson,2017-11-30 09:35:00
Bloody Well Right,Supertramp,2017-11-30 09:39:00
Blossom,James Taylor,2017-11-30 09:44:00
Blow Wind Blow,Dr. John,2017-11-30 09:46:00
Blue,Joni Mitchell,2017-11-30 09:49:00
Blue Boy,Joni Mitchell,2017-11-30 09:52:00
Blue Eyes Crying In The Rain,Willie Nelson,2017-11-30 09:57:00
Blue Letter,Fleetwood Mac,2017-11-30 10:00:00
Blue Money,Van Morrison,2017-11-30 10:03:00
"Blue Morning, Blue Day",Foreigner,2017-11-30 10:07:00
Blue Motel Room,Joni Mitchell,2017-11-30 10:10:00
Blue River,Eric Andersen,2017-11-30 10:15:00
Blue Skies,Willie Nelson,2017-11-30 10:20:00
Blue Sky,The Allman Brothers,2017-11-30 10:23:00
Blue Sunday,The Doors,2017-11-30 10:29:00
Bluebird,Paul McCartney & Wings,2017-11-30 10:34:00
Blues Power,Eric Clapton,2017-11-30 10:37:00
Bo Diddley,Bob Seger,2017-11-30 10:40:00
Bob Dylan Blues,Syd Barrett,2017-11-30 10:46:00
Bodhisattva,Steely Dan,2017-11-30 10:52:00
Bohemian Rhapsody,Queen,2017-11-30 10:57:00
Bombs Away,Bob Weir,2017-11-30 11:03:00
Boogie,John Hartford,2017-11-30 11:10:00
Boogie Down,Eddie Kendricks,2017-11-30 11:12:00
Boogie Nights,Heatwave,2017-11-30 11:19:00
Boogie On Reggae Woman,Stevie Wonder,2017-11-30 11:26:00
Boogie Ooogie Oogie,A Taste Of Honey,2017-11-30 11:31:00
Boogie Till You Puke,Root Boy Slim & The Sex Change Band,2017-11-30 11:34:00
Boogie With Stu,Led Zeppelin,2017-11-30 11:38:00
Boogie Woogie Bugle Boy,Bette Midler,2017-11-30 11:44:00
Book Of Rules,The Heptones,2017-11-30 11:46:00
Bootzilla,Bootsy Collins,2017-11-30 11:49:00
Border Song,Elton John,2017-11-30 11:56:00
Border Town,The Souther-Hillman-Furay Band,2017-11-30 12:00:00
Bored,Destroy All Monsters,2017-11-30 12:04:00
Boredom,Magazine,2017-11-30 12:08:00
Born Fighter,Nick Lowe,2017-11-30 12:13:00
Born In The 50's,The Police,2017-11-30 12:16:00
Born Late '58,Mott The Hoople,2017-11-30 12:20:00
Born Loose,Rod Stewart,2017-11-30 12:25:00
Born To Lose,The Heartbreakers,2017-11-30 12:31:00
Born To Run,Bruce Springsteen,2017-11-30 12:34:00
Both Ends Burning,Roxy Music,2017-11-30 12:40:00
Boulder To Birmingham,Emmylou Harris,2017-11-30 12:45:00
Box Of Rain,Grateful Dead,2017-11-30 12:48:00
Boxcars,Joe Ely,2017-11-30 12:55:00
Boy Blue,Electric Light Orchestra,2017-11-30 12:59:00
Boys Keep Swinging,David Bowie,2017-11-30 13:05:00
Bra,Cymande,2017-11-30 13:10:00
Brain Damage/Eclipse,Pink Floyd,2017-11-30 13:15:00
Brand New Cadillac,The Clash,2017-11-30 13:23:00
Brand New Key,Melanie,2017-11-30 13:25:00
Brandy (You're A Fine Girl),Looking Glass,2017-11-30 13:28:00
Brass Buttons,Gram Parsons,2017-11-30 13:31:00
Breadfan,Budgie,2017-11-30 13:35:00
Break It To Me Gently,Aretha Franklin,2017-11-30 13:41:00
Break Up To Make Up,The Stylistics,2017-11-30 13:45:00
Breakdown,The Alan Parsons Project,2017-11-30 13:49:00
Breakdown,Tom Petty & The Heartbreakers,2017-11-30 13:54:00
Breakfast In America,Supertramp,2017-11-30 13:57:00
Breaking Glass,David Bowie,2017-11-30 14:00:00
Breaking Up Is Hard To Do,Neil Sedaka,2017-11-30 14:02:00
Breezin',George Benson,2017-11-30 14:06:00
Brick House,The Commodores,2017-11-30 14:13:00
Brickyard Blues,Maria Muldaur,2017-11-30 14:17:00
Bridge Of Sighs,Robin Trower,2017-11-30 14:23:00
Bridge Over Troubled Water,Aretha Franklin,2017-11-30 14:28:00
Bridge Over Troubled Water,Simon & Garfunkel,2017-11-30 14:33:00
Bright Moments,Lonnie Liston Smith,2017-11-30 14:40:00
Bright Side Of The Road,Van Morrison,2017-11-30 14:47:00
Bring On The Night,The Police,2017-11-30 14:50:00
Bringing Home The Bacon,Procol Harum,2017-11-30 14:55:00
Brokedown Palace,Grateful Dead,2017-11-30 15:03:00
Broken English,Marianne Faithfull,2017-11-30 15:07:00
Broken Heart Blues,Frank Marino & Mahogany Rush,2017-11-30 15:14:00
Bron-Y-Aur Stomp,Led Zeppelin,2017-11-30 15:19:00
Brontosaurus,The Move,2017-11-30 15:25:00
Brooklyn (Owes The Charmer Under Me),Steely Dan,2017-11-30 15:29:00
Brother Louie,Stories,2017-11-30 15:33:00
Brothers Gonna Work It Out,Willie Hutch,2017-11-30 15:37:00
Brown Eyes,Axis,2017-11-30 15:41:00
Brown Sugar,The Rolling Stones,2017-11-30 15:46:00
Bruised Orange,John Prine,2017-11-30 15:49:00
Buckets of Rain,Bob Dylan,2017-11-30 15:56:00
Buffalo Soldier,Bob Marley & The Wailers,2017-11-30 16:00:00
Buick 48,Jools Holland,2017-11-30 16:05:00
Bulbs,Van Morrison,2017-11-30 16:10:00
Bungle In The Jungle,Jethro Tull,2017-11-30 16:15:00
Burial,Peter Tosh,2017-11-30 16:18:00
Burn Down The Mission,Elton John,2017-11-30 16:22:00
Burn It Down,Suicide Commandos,2017-11-30 16:31:00
Burn This Disco Out,Michael Jackson,2017-11-30 16:33:00
Burnin' Sky,Bad Company,2017-11-30 16:36:00
Burning Airlines Give You So Much More,Brian Eno,2017-11-30 16:42:00
Burning Love,Elvis Presley,2017-11-30 16:45:00
Bus Driver,Muddy Waters,2017-11-30 16:52:00
Bush Doctor,Peter Tosh,2017-11-30 17:00:00
Bustin' Out (On Funk),Rick James,2017-11-30 17:04:00
Buzzard,Armageddon,2017-11-30 17:09:00
Bye Bye Love,The Cars,2017-11-30 17:21:00
Bye-Bye,John Hartford,2017-11-30 17:25:00
Ca Plane Pour Moi,Plastic Bertrand,2017-11-30 17:29:00
Cadillac Walk,Mink DeVille,2017-11-30 17:32:00
Cakewalk Into Town,Taj Mahal,2017-11-30 17:37:00
Caldonia,B. B. King,2017-11-30 17:39:00
Caledonia Mission,The Band,2017-11-30 17:43:00
California,Joni Mitchell,2017-11-30 17:46:00
California,The Beach Boys,2017-11-30 17:50:00
California Blues,Dickey Betts & Great Southern,2017-11-30 17:55:00
California Man,Cheap Trick,2017-11-30 18:00:00
California Sun,The Ramones,2017-11-30 18:04:00
California Uber Alles,Dead Kennedys,2017-11-30 18:06:00
Call Me,Aretha Franklin,2017-11-30 18:12:00
Call Me (Come Back Home),Al Green,2017-11-30 18:15:00
Call Me Back Again,Wings,2017-11-30 18:19:00
Call Me the Breeze,J. J. Cale,2017-11-30 18:25:00
Call Me the Breeze,Lynyrd Skynyrd,2017-11-30 18:27:00
Call Me Up In Dreamland,Van Morrison,2017-11-30 18:33:00
Call On Me,Chicago,2017-11-30 18:37:00
Calling Occupants Of Interplanetary Craft,Klaatu,2017-11-30 18:41:00
Calypso,John Denver,2017-11-30 18:47:00
Camarillo Brillo,Frank Zappa,2017-11-30 18:53:00
Camellia,Hall & Oates,2017-11-30 18:57:00
Campaigner,Neil Young,2017-11-30 19:00:00
Can I Put You On,Elton John,2017-11-30 19:03:00
Can We Still Be Friends,Todd Rundgren,2017-11-30 19:11:00
Can You Get to That,Funkadelic,2017-11-30 19:15:00
Can You Understand,Renaissance,2017-11-30 19:17:00
Can't Be Satisfied,"Muddy Waters, Johnny Winter & James Cotton",2017-11-30 19:27:00
Can't Get It Out Of My Head,Electric Light Orchestra,2017-11-30 19:32:00
Can't Go Halfway,Harmonettes,2017-11-30 19:37:00
Can't Hide Love,Earth Wind & Fire,2017-11-30 19:39:00
Can't Keep It In,Cat Stevens,2017-11-30 19:43:00
Can't Lose What You Never Had,The Allman Brothers,2017-11-30 19:47:00
