Persuasion,Richard Thompson & Teddy Thompson
Persuasion,Tim Finn
Pets,Porno For Pyros
Phantom Limb,The Shins
Philly Dog,The Mar-Keys
Philosopher's Stone,Van Morrison
Photograph,Camper Van Beethoven
Photograph,Ringo Starr
Pick Myself Up,Peter Tosh
Pick Up The Pieces,Average White Band
Pickin' Up The Pieces,Poco
Pickin' Up The Pieces,Widespread Panic
Picture Book,The Kinks
Pictures Of Lily,The Who
Pictures Of Matchstick Men,Camper Van Beethoven
Pictures Of Matchstick Men,Status Quo
Pictures Of You,The Cure
Piece Of My Heart,Big Brother & The Holding Company
Piece Of My Heart,Erma Franklin
Pigs (three Different Ones),Pink Floyd
Pinball Wizard,The Who
Pink + White,Frank Ocean
Pink Moon,Nick Drake
Pipeline,The Chantays
Planet Claire,B-52's
Planet Rock,Afrika Bambaata & Soul Sonic Force
Plastic Fantastic Lover,Jefferson Airplane
Play Me Backwards,Joan Baez
Play That Fast Thing One More Time,Rockpile
Play With Me,Jeff Beck
Playing In The Band,Grateful Dead
Pleasant Valley Sunday,The Monkees
Please Don't Worry,Grand Funk Railroad
Please Forgive Me,David Gray
Please Please Me,The Beatles
Please Please Please,James Brown
Please Read The Letter,Robert Plant & Alison Krauss
Pledging My Love,Johnny Ace
Pocohantas,Neil Young
Poetry Man,Phoebe Snow
Poets,The Tragically Hip
Point Blank,Bruce Springsteen
Poison & Wine,The Civil Wars
Poison Arrow,ABC
Poison Girl,Chris Whitley
Police & Thieves,The Clash
Police And Thieves,Junior Murvin
Police On My Back,The Clash
Policy Of Truth,Depeche Mode
Political Science,Randy Newman
Polk Salad Annie,Tony Joe White
Polythene Pam,The Beatles
Ponta De Areia,Wayne Shorter
Ponta De Lanca Africano (umbabarauma),Jorge Ben
Poor Poor Pitiful Me,Warren Zevon
Pop Life,Prince & The Revolution
Pop Muzik,M
Pop Song 89,R. E. M.
Porcelain,Moby
Portions For Foxes,Rilo Kiley
Portland Oregon,Loretta Lynn
Positive Bleeding,Urge Overkill
Positive Vibration,Bob Marley & The Wailers
Positively 4th Street,Bob Dylan
Possession,Sarah McLachlan
Powderfinger,Neil Young
Power And Passion,Midnight Oil
Power To Move Ya,Ziggy Marley
Power To The People,John Lennon
Presence Of The Lord,Blind Faith
Pressure Drop,Robert Palmer
Pressure Drop,Toots & The Maytals
Pretending,Eric Clapton
Pretty As You Feel,Jefferson Airplane
Pretty Ballerina,The Left Banke
Pretty Good Year,Tori Amos
Pretty In Pink,Psychedelic Furs
Pretty Little Rebel,John Eddie
Pretty Maids All In A Row,The Eagles
Pretty Persuasion,R. E. M.
Pretty Pimpin',Kurt Vile
Pretzel Logic,Steely Dan
Pride,U2
Pride And Joy,Marvin Gaye
Pride And Joy,Stevie Ray Vaughan
Pride Of Man,Quicksilver Messenger Service
Prime Of Life,Neil Young
Primrose Green,Ryley Walker
Private Conversation,Lyle Lovett
Private Idaho,B-52's
Private Life,The Pretenders
Private Revolution,World Party
Promised You A Miracle,Simple Minds
Promises Promises,Naked Eyes
Proud Mary,Ike & Tina Turner
Prove It All Night,Bruce Springsteen
Psychedelic Shack,The Temptations
Psychotic Reaction,The Count Five
Public Image,Public Image Ltd.
Pull Up To The Bumper,Grace Jones
Pulling Mussels From A Shell,Squeeze
Pump It Up,Elvis Costello
Pump Up The Volume,M/A/R/R/S
Punk Rock Girl,Dead Milkmen
Pure,The Lightning Seeds
Pure And Easy,Pete Townshend
Purple Haze,Jimi Hendrix
Purple Rain,Prince
Push On Til The Day,Trey Anastasio
Pushin' Too Hard,The Seeds
Put Me On Top,Aimee Mann
Put The Message In The Box,World Party
Put Your Records On,Corinne Bailey Rae
