Title,Artist,Year
Flow Motion,Can,1976
Fly Like An Eagle,Steve Miller,1976
Flying Turkey Trot,REO Speedwagon,1976
Fool To Cry,The Rolling Stones,1976
Fooled Again (I Don't Like It),Tom Petty & The Heartbreakers,1976
Fool's Gold,Graham Parker,1976
For The Love Of You,John Holt,1976
For Your Life,Led Zeppelin,1976
Foreplay / Long Time,Boston,1976
Full Of Fire,Al Green,1976
Funky Music (Is A Part Of Me),Luther,1976
Get Closer,Seals & Crofts,1976
Get The Funk Out Ma Face,Brothers Johnson,1976
Get Up Offa That Thing,James Brown,1976
Getaway,Earth Wind & Fire,1976
Gimme Back My Bullets,Lynyrd Skynyrd,1976
Girlfriend,The Modern Lovers,1976
Golden Years,David Bowie,1976
Good Vibrations,Todd Rundgren,1976
Goodbye Pork Pie Hat,Jeff Beck,1976
Government Center,The Modern Lovers,1976
Green Earrings,Steely Dan,1976
Haitian Divorce,Steely Dan,1976
Hand Of Fate,The Rolling Stones,1976
Hanging On The Telephone,The Nerves,1976
Hard Luck Woman,Kiss,1976
Hard Work,John Handy,1976
Harvest For The World,The Isley Brothers,1976
Hasten Down The Wind,Warren Zevon,1976
Have A Talk With God,Stevie Wonder,1976
He Called Me Baby,Candi Staton,1976
Heartaches,The Dictators,1976
Heat Treatment,Graham Parker,1976
Heaven Must Be Missing An Angel,Tavares,1976
Hejira,Joni Mitchell,1976
Hello Old Friend,Eric Clapton,1976
Here Come The Martian Martians,Jonathan Richman And The Modern Lovers,1976
Here Come Those Tears Again,Jackson Browne,1976
Hey Negrita,The Rolling Stones,1976
He'll Have To Go,Ry Cooder,1976
Hometown Blues,Tom Petty & The Heartbreakers,1976
Hooked On Your Love,Aretha Franklin,1976
Hot Stuff,The Rolling Stones,1976
Hotel California,The Eagles,1976
Hots On For Nowhere,Led Zeppelin,1976
Hurricane,Bob Dylan,1976
I Can't Wait To Get Off Work,Tom Waits,1976
I Don't Wanna Go Down To The Basement,The Ramones,1976
I Don't Wanna Walk Around With You,The Ramones,1976
I Don't Want To Go Home,Southside Johnny & The Asbury Jukes,1976
I Wanna Be Your Boyfriend,The Ramones,1976
I Wanna Get Next To You,Rose Royce,1976
I Wanna Go To The Sun,Peter Frampton,1976
I Want You,Marvin Gaye,1976
I Wish,Stevie Wonder,1976
I Wish I Was In New Orleans,Tom Waits,1976
If You Leave Me Now,Chicago,1976
In Tall Buildings,John Hartford,1976
In The Flesh,Blondie,1976
Isis,Bob Dylan,1976
Isn't She Lovely,Stevie Wonder,1976
It Keeps You Runnin',Carly Simon,1976
It Keeps You Runnin',The Doobie Brothers,1976
It Must Have Been The Roses,Jerry Garcia,1976
It's A Long Way To The Top (If You Wanna Rock 'n' Roll),AC/DC,1976
It's Only Love,ZZ Top,1976
I'd Rather Be With You,Bootsy's Rubber Band,1976
I'd Really Love To See You Tonight,England Dan & John Ford Coley,1976
I'll Be Good To You,Brothers Johnson,1976
I'll Sleep When I'm Dead,Warren Zevon,1976
I'm Straight,The Modern Lovers,1976
I'm Your Boogie Man,KC & The Sunshine Band,1976
I've Loved These Days,Billy Joel,1976
Jailbreak,Thin Lizzy,1976
Jam Jam Jam (All Night Long),Peoples Chocie,1976
James,Billy Joel,1976
Jive,Michael Franks,1976
Joe Hill,Joan Baez,1976
Joey,Bob Dylan,1976
Johnny Hold Back,Charlie,1976
Johnny Hold Back,Charlie,1976
Join Me In L.A.,Warren Zevon,1976
Join The Boys,Joan Armatrading,1976
Jolene,Olivia Newton-John,1976
Judy Is A Punk,The Ramones,1976
Jump Street,Boz Scaggs,1976
Just To Be Close To You,The Commodores,1976
Keep It Comin' Love,KC & The Sunshine Band,1976
Keep That Same Old Feeling,The Crusaders,1976
Ketchy Shuby,Peter Tosh,1976
Keys To Your Heart,The 101ers,1976
Kid Charlemagne,Steely Dan,1976
Kiss And Say Goodbye,The Manhattans,1976
Lady Doctor,Graham Parker,1976
Last Child,Aerosmith,1976
Lazy Lightnin',Kingfish,1976
Led Boots,Jeff Beck,1976
Legalize It,Peter Tosh,1976
Let Em In,Wings,1976
Let Me Dream If I Want To,Mink DeVille,1976
Let Your Love Flow,Bellamy Brothers,1976
Let's Dance,The Ramones,1976
Let's Go,Montrose,1976
Let's Stick Together,Bryan Ferry,1976
Lido Shuffle,Boz Scaggs,1976
Life In The Air Age,Be Bop Deluxe,1976
Life In The Fast Lane,The Eagles,1976
Linda Paloma,Jackson Browne,1976
Listen To My Heart,The Ramones,1976
Livin' Thing,Electric Light Orchestra,1976
Lonely Boy,Andrew Gold,1976
Long May You Run,The Stills-Young Band,1976
Looks Like We Made It,Barry Manilow,1976
Lose Again,Linda Ronstadt,1976
Losin' End,The Doobie Brothers,1976
Loudmouth,The Ramones,1976
Love & Affection,Joan Armatrading,1976
Love Ballad,L.T.D.,1976
Love Ballad,L.T.D.,1976
Love Hangover,Diana Ross,1976
Love Me Tomorrow,Boz Scaggs,1976
Love Of The Common Man,Todd Rundgren,1976
Love's In Need of Love Today,Stevie Wonder,1976
Lowdown,Boz Scaggs,1976
Luna,Tom Petty & The Heartbreakers,1976
Mad Man Moon,Genesis,1976
Magic Man,Heart,1976
Magic Mountain,Eric Burdon & War,1976
Majestic Dance,Return To Forever,1976
Mama Say,The Heptones,1976
"Man Smart, Woman Smarter",Robert Palmer,1976
Max's Kansas City,Wayne County & The Back Street Boys,1976
Melody,The Rolling Stones,1976
Memory Motel,The Rolling Stones,1976
Mercury Blues,Steve Miller Band,1976
Message In Our Music,The O'Jays,1976
Miami 2017,Billy Joel,1976
Midnight On The Bay,The Stills-Young Band,1976
Might As Well,Jerry Garcia,1976
Modern World,The Modern Lovers,1976
Mohammed's Radio,Warren Zevon,1976
Monkey See - Monkey Do,Michael Franks,1976
More Than A Feeling,Boston,1976
Mozambique,Bob Dylan,1976
Muskrat Love,Captain & Tennille,1976
My Pearl,Automatic Man,1976
New Country,Jean-Luc Ponty,1976
New England,Jonathan Richman And The Modern Lovers,1976
New Kid In Town,The Eagles,1976
New York State Of Mind,Billy Joel,1976
Ngiculela - Es Una Historia - I Am Singing,Stevie Wonder,1976
Night Moves,Bob Seger & The Silver Bullet Band,1976
No Sympathy,Peter Tosh,1976
Nobody's Fault But Mine,Led Zeppelin,1976
Nobody's Fault But Mine,Led Zeppelin,1976
"Oh, Sister",Bob Dylan,1976
Once Or Twice,Chicago,1976
One More Chance To Run,British Lions,1976
One More Cup Of Coffee,Bob Dylan,1976
Out Of The Blue,Elton John,1976
Pastime Paradise,Stevie Wonder,1976
Play With Me,Jeff Beck,1976
Please Come To Boston,Dave Loggins,1976
Poor Poor Pitiful Me,Warren Zevon,1976
Popsicle Toes,Michael Franks,1976
Positive Vibration,Bob Marley & The Wailers,1976
Prelude/Angry Young Man,Billy Joel,1976
Pretty Maids All In A Row,The Eagles,1976
Pumping (My Heart),Patti Smith,1976
Queens Of Noise,The Runaways,1976
Rats In The Cellar,Aerosmith,1976
Refuge Of The Roads,Joni Mitchell,1976
Rich Girl,Hall & Oates,1976
Ripples,Genesis,1976
"Robbery, Assault & Battery",Genesis,1976
Rock & Roll Love Letter,Bay City Rollers,1976
Rock N Roll Band,Boston,1976
Rockaria!,Electric Light Orchestra,1976
Rockin' Around (With You),Tom Petty & The Heartbreakers,1976
Rock'n Me,Steve Miller Band,1976
"Roots, Rock, Reggae",Bob Marley & The Wailers,1976
Running Back,Thin Lizzy,1976
Running Of Three,Brand X,1976
Sara,Bob Dylan,1976
Say Goodbye To Hollywood,Billy Joel,1976
School Days,Stanley Clarke,1976
Shake Some Action,Flamin' Groovies,1976
She's A Heartbreaker,ZZ Top,1976
Shine On,Peter Frampton,1976
Shower The People,James Taylor,1976
Sick As A Dog,Aerosmith,1976
Sir Duke,Stevie Wonder,1976
Smack Dab In The Middle,Ry Cooder,1976
So Fine,Electric Light Orchestra,1976
So Into You,Atlanta Rhythm Section,1976
Somebody To Love,Queen,1976
Someone To Lay Down Beside Me,Linda Ronstadt,1976
Something About You,Boston,1976
Something He Can Feel,Aretha Franklin,1976
Something's Happening,Peter Frampton,1976
Sophisticated Lady (She's a Different Lady),Natalie Cole,1976
Sorry Seems To Be The Hardest Word,Elton John,1976
Soul Searching,Average White Band,1976
Soul Shoes,Graham Parker,1976
Squonk,Genesis,1976
Station To Station,David Bowie,1976
Stay,David Bowie,1976
Step Right Up,Tom Waits,1976
Strangered In The Night,Tom Petty & The Heartbreakers,1976
Strangers In The Night,Bette Midler,1976
Sub-Rosa Subway,Klaatu,1976
"Summer, Highland Falls",Billy Joel,1976
Sunburst,Bob Seger & The Silver Bullet Band,1976
Take It To The Limit,The Eagles,1976
Take The Money & Run,Steve Miller Band,1976
Takin' It To The Streets,The Doobie Brothers,1976
The Boys Are Back In Town,Thin Lizzy,1976
The Dancer,Stanley Clarke,1976
The Fez,Steely Dan,1976
The Fire Down Below,Bob Seger & The Silver Bullet Band,1976
The Fuse,Jackson Browne,1976
The Last Resort,The Eagles,1976
The Piano Has Been Drinking (Not Me),Tom Waits,1976
The Pretender,Jackson Browne,1976
The Royal Scam,Steely Dan,1976
"The Verb ""To Love""",Todd Rundgren,1976
"The Wild One, Forever",Tom Petty & The Heartbreakers,1976
"Theme from ""S.W.A.T.""",Rhythm Heritage,1976
They Love Each Other,Jerry Garcia,1976
This Ain't The Summer Of Love,Blue Oyster Cult,1976
This Masquerade,George Benson,1976
Tie Your Mother Down,Queen,1976
"Today Your Love, Tomorrow The World",The Ramones,1976
"Today Your Love, Tomorrow The World",The Ramones,1976
Tom Traubert's Blues,Tom Waits,1976
Too Hot To Handle,Heatwave,1976
Too Hot To Stop,The Bar-Kays,1976
Tore Up Over You,Jerry Garcia,1976
Torn Between Two Lovers,Mary MacGregor,1976
Trouble (With A Capital T),Horslips,1976
Try And Love Again,The Eagles,1976
Turn The Page,Bob Seger & The Silver Bullet Band,1976
TVC15,David Bowie,1976
