Title,Artist,Year
Cats Under The Stars,Jerry Garcia,1978
Changing of The Guards,Bob Dylan,1978
Chase,Giorgio Moroder,1978
Cheeseburger In Paradise,Jimmy Buffett,1978
Chicago Boxcar (Boston Back),Fabulous Poodles,1978
Chinese Radiation,Pere Ubu,1978
Chinese Radiation,Pere Ubu,1978
Christmas Card From A Hooker In Minneapolis,Tom Waits,1978
Christmas Waltz,The Carpenters,1978
Circus Of Heaven,Yes,1978
Coliseum Rock / It's A Riot,Starz,1978
Come Back Jonee,Devo,1978
Come Together,Aerosmith,1978
Comes A Time,Neil Young,1978
Constantinople,The Residents,1978
Cool Metro,David Johansen,1978
Copacabana (At the Copa),Barry Manilow,1978
Count On Me,Jefferson Starship,1978
Covered Up In Aces,Elizabeth Barraclaugh,1978
Crisis,Bob Marley & The Wailers,1978
Cruel To Be Kind (original Version),Nick Lowe,1978
D.I.Y.,Peter Gabriel,1978
Darkness On The Edge Of Town,Bruce Springsteen,1978
David Watts,The Jam,1978
Days,Television,1978
Denis,Blondie,1978
Dependin' On You,The Doobie Brothers,1978
Disco Duck,Rick Dees,1978
Do It '77,Twink & The Fairies,1978
Do Ya Think I'm Sexy?,Rod Stewart,1978
Don't Come Close,The Ramones,1978
Don't Kill The Whale,Yes,1978
Don't Look Back,Boston,1978
Don't Look Back,Peter Tosh,1978
Don't Stop Me Now,Queen,1978
Down At The Tube Station At Midnight,The Jam,1978
Down To The Waterline,Dire Straits,1978
Dreadlock Holiday,10cc,1978
Dreamin',Gruppo Sportivo,1978
Dreams I'll Never See,Molly Hatchet,1978
Driver's Seat,Sniff N The Tears,1978
Dub Housing,Pere Ubu,1978
E.S.P.,The Buzzcocks,1978
Easy From Now On,Emmylou Harris,1978
Easy Skanking,Bob Marley & The Wailers,1978
Emotion,Samantha Sang,1978
Eruption,Van Halen,1978
Ever Fallen In Love?,The Buzzcocks,1978
Every 1's A Winner,Hot Chocolate,1978
Every Kind Of People,Robert Palmer,1978
Everybody Knows,Willie Alexander And The Boom Boom Band,1978
Excitable Boy,Warren Zevon,1978
Factory,Bruce Springsteen,1978
Fade Away And Radiate,Blondie,1978
Far Away Eyes,The Rolling Stones,1978
Feel Like A Number,Bob Seger & The Silver Bullet Band,1978
Feeling That Way,Journey,1978
Feelin' Alright With The Crew,Nine Nine Nine,1978
Fire,The Pointer Sisters,1978
Fire On The Mountain,Grateful Dead,1978
Fish And Whistle,John Prine,1978
Flyin' Shoes,Townes Van Zandt,1978
FM,Steely Dan,1978
Follow You Follow Me,Genesis,1978
Fox Hole,Television,1978
Frenchette,David Johansen,1978
Funky But Chic,David Johansen,1978
Gator Country,Molly Hatchet,1978
Georgia On My Mind,Willie Nelson,1978
Georgy Porgy,Toto,1978
Get Off,Foxy,1978
Get Over You,The Undertones,1978
Get Rhythm,NRBQ,1978
Ghost Dance,Patti Smith,1978
Girls Don't Like It,The Undertones,1978
Girls Don't Like It,The Undertones,1978
Glad All Over,The Rezillos,1978
Glory,Television,1978
Goin' Down To Laurel,Steve Forbert,1978
Good Lovin',Grateful Dead,1978
Good Morning Little School Girl,Muddy Waters,1978
Good Times Roll,The Cars,1978
Got To Get You Into My Life,Earth Wind & Fire,1978
Grease,Frankie Valli,1978
Great White Buffalo,Ted Nugent,1978
Great White Buffalo,Ted Nugent,1978
Green Shirt,Elvis Costello,1978
Guns On The Roof,The Clash,1978
Guns On The Roof,The Clash,1978
Gut Feeling/Slap Your Mammy,Devo,1978
Hanging On The Telephone,Blondie,1978
Head First,The Babys,1978
Heart Of Glass,Blondie,1978
Heart Of The City,Nick Lowe,1978
Heatwave,XTC,1978
Heaven Tonight,Cheap Trick,1978
Helpless,The Band,1978
Here Comes The Summer,The Undertones,1978
Here Comes Trouble,Tuff Darts,1978
Here To Love You,The Doobie Brothers,1978
Hey Saint Peter,Flash And The Pan,1978
Holding On (When Love Is Gone),L.T.D.,1978
Hole In My Life,The Police,1978
Hollywood Nights,Bob Seger & The Silver Bullet Band,1978
Hong Kong Garden,Siouxsie & The Banshees,1978
Hot Child in the City,Nick Gilder,1978
How Much I Feel,Ambrosia,1978
Human Highway,Neil Young,1978
I Ain't Living Long Like This,Emmylou Harris,1978
I Ain't Living Long Like This,Rodney Crowell,1978
I Am A Poseur,X-Ray Spex,1978
I Am The Cosmos,Chris Bell,1978
I Am The Fly,Wire,1978
I Can Get Off On You,Waylon Jennings & Willie Nelson,1978
I Go To Rio,Pablo Cruise,1978
I Just Want To Have Something To Do,The Ramones,1978
I Know But I Don't Know,Blondie,1978
I Need A Miracle,Grateful Dead,1978
I Need To Know,Tom Petty & The Heartbreakers,1978
I Shall Be Released,The Band,1978
I Wanna Be Sedated,The Ramones,1978
I Want You Bad,NRBQ,1978
I Want You To Want Me,Cheap Trick,1978
I Was One,The Babys,1978
I Will Survive,Gloria Gaynor,1978
In A Gadda Da Vida / Garden Of Eden,Disco Circus,1978
In the Dead of Night,U.K.,1978
In The Gallery,Dire Straits,1978
Is This Love,Bob Marley & The Wailers,1978
Is Your Love In Vain?,Bob Dylan,1978
It Isn't Gonna Be That Way,Steve Forbert,1978
It Seems To Hang On,Ashford & Simpson,1978
It's a Laugh,Hall & Oates,1978
I'm Against It,The Ramones,1978
I'm Carrying,Wings,1978
I'm Gonna Love You Too,Blondie,1978
I'm Not In Love,Talking Heads,1978
I'm Ready,Muddy Waters,1978
Jaco,Pat Metheny Group,1978
Jamie's Cryin',Van Halen,1978
Jerry's Pigeons,Genya Raven,1978
Jesus Christ,Big Star,1978
Jimmy Jimmy,The Undertones,1978
Johnny Strikes Up The Band,Warren Zevon,1978
Julie's In The Drug Squad,The Clash,1978
Just What I Needed,The Cars,1978
King Tut,Steve Martin & The Toot Uncommons,1978
Kiss Me Deadly,Generation X,1978
Kiss Me Deadly,Generation X,1978
Kite,Kate Bush,1978
Kizza Me,Big Star,1978
Know Your Product,The Saints,1978
L.A. Connection,Rainbow,1978
LA Freeway,Jerry Jeff Walker,1978
Last Gang In Town,The Clash,1978
"Lawyers, Guns, And Money",Warren Zevon,1978
Le Freak,Chic,1978
Leave Me Alone,Lou Reed,1978
Leaving Louisiana In The Broad Daylight,Emmylou Harris,1978
Lee Remick,The Go-Betweens,1978
Lexicon Devil,The Germs,1978
Life Beyond L.A.,Ambrosia,1978
Life In The Foodchain,Tonio K.,1978
Life's Been Good,Joe Walsh,1978
Lighten Up McGraw,Crack The Sky,1978
Lip Service,Elvis Costello,1978
Lipstick Vogue,Elvis Costello,1978
Listen To Her Heart,Tom Petty & The Heartbreakers,1978
Little Triggers,Elvis Costello,1978
Living On An Island,The Boomtown Rats,1978
Look Out For My Love,Neil Young,1978
Lookin' After No. 1,The Boomtown Rats,1978
Lotta Love,Neil Young,1978
Lotta Love,Nicolette Larson,1978
Love For You And Me,Budgie,1978
Love Is Like Oxygen,Sweet,1978
Love Will Find A Way,Pablo Cruise,1978
Low Life,Public Image Ltd.,1978
Lucky Number,Lene Lovich,1978
MacArthur Park,Donna Summer,1978
Magnet And Steel,Walter Egan,1978
Magnolia,Tom Petty & The Heartbreakers,1978
Mannish Boy,The Band,1978
Mary Provost,Nick Lowe,1978
Mighty Love,The Spinners,1978
Milk And Alcohol,Dr. Feelgood,1978
Minute By Minute,The Doobie Brothers,1978
Miss You,The Rolling Stones,1978
Motorcycle Mama,Neil Young,1978
Moving In Stereo,The Cars,1978
Mull of Kintyre,Wings,1978
My Love (Burning Love),Robin Trower,1978
My Radio Sure Sounds Good To Me,Larry Graham & Graham Central Station,1978
Neon Lights,Kraftwerk,1978
Next To You,The Police,1978
Night People,Robert Palmer,1978
Nighttime In The Switching Yard,Warren Zevon,1978
No Action,Elvis Costello & The Attractions,1978
No Second Thoughts,Tom Petty & The Heartbreakers,1978
Nobody's Scared,Subway Sect,1978
Non-Alignment Pact,Pere Ubu,1978
Now That We've Found Love,Third World,1978
O Dana,Big Star,1978
Oh Bondage Up Yours!,X-Ray Spex,1978
Old Time Rock & Roll,Bob Seger & The Silver Bullet Band,1978
On and On,Pezband,1978
On Broadway,George Benson,1978
On The Radio,Cheap Trick,1978
On The Surface,Pere Ubu,1978
On Top Of The World,Cheap Trick,1978
One Chord Wonders,The Adverts,1978
One Nation Under A Groove,Funkadelic,1978
One Of A Kind (love Affair),The Spinners,1978
Onomatopeia,Todd Rundgren,1978
Open Invitation,Santana,1978
Over And Over,Joe Walsh,1978
Pacific Ocean Blues,Dennis Wilson,1978
Peace of Mind,Neil Young,1978
Phase Dance,Pat Metheny Group,1978
Pick Myself Up,Peter Tosh,1978
Poe,The Shirts,1978
Praying Hands,Devo,1978
Prove It All Night,Bruce Springsteen,1978
Punk Jazz,Weather Report,1978
Racing In The Streets,Bruce Springsteen,1978
Racing In The Streets,Bruce Springsteen,1978
Real Good Time Together,Lou Reed,1978
"Release, Release",Yes,1978
Reminiscing,Little River Band,1978
Renegade,Styx,1978
Respectable,The Rolling Stones,1978
Restless,Tom Petty & The Heartbreakers,1978
Right Down The Line,Gerry Rafferty,1978
Rock & Roll Outlaw,Rose Tattoo,1978
Rock Me,Muddy Waters,1978
Roland The Headless Thompson Gunner,Warren Zevon,1978
Roll It,Eric Clapton,1978
Roll With The Changes,REO Speedwagon,1978
Rollers Show,Nick Lowe,1978
Rope Ladder To The Moon,Brian Auger & Julie Tippetts,1978
Roxanne,The Police,1978
Runaway,Jefferson Starship,1978
Runnin' With The Devil,Van Halen,1978
Safe European Home,The Clash,1978
Science Friction,XTC,1978
Senor (tales Of Yankee Power),Bob Dylan,1978
September Song,Willie Nelson,1978
Shadow Dancing,Andy Gibb,1978
Shakedown Street,Grateful Dead,1978
Shattered,The Rolling Stones,1978
Shooting Star,Lou Reed,1978
So It Goes,Nick Lowe,1978
So Lonely,The Police,1978
Sodom And Gomorrah,The Village People,1978
Something In The Night,Bruce Springsteen,1978
Something Warm,Rick Derringer,1978
Song On The Radio,Al Stewart,1978
Southbound Again,Dire Straits,1978
Space Junk,Devo,1978
Space Monkey,Patti Smith,1978
Statue Of Liberty,XTC,1978
Stay Free,The Clash,1978
Stay Hungry,Talking Heads,1978
Steppin' In A Slidezone,The Moody Blues,1978
Stiff Competition,Cheap Trick,1978
Straight On,Heart,1978
Streets Of Fire,Bruce Springsteen,1978
Stuff Like That,Quincy Jones,1978
Stumblin' In,Suzi Quatro,1978
Such A Night,The Band,1978
Sultans Of Swing,Dire Straits,1978
Surrender,Cheap Trick,1978
Take Me To The Next Phase,The Isley Brothers,1978
Take Me To The River,Talking Heads,1978
Takin' Me Back,Cheap Trick,1978
Teenage Crutch,The Shirts,1978
Teenage Kicks,The Undertones,1978
Tell Me To My Face,Dan Fogelberg & Tim Weisberg,1978
Tell Me Tonight,The Paley Brothers,1978
Tenderness On The Block,Warren Zevon,1978
Thank You For Sending Me An Angel,Talking Heads,1978
The Answer,Frank Marino & Mahogany Rush,1978
The Big Country,Talking Heads,1978
The Day The World Turned Day-Glo,X-Ray Spex,1978
The Man With The Child In His Eyes,Kate Bush,1978
The Model,Kraftwerk,1978
The Promised Land,Bruce Springsteen,1978
The Robots,Kraftwerk,1978
There's No Way Out Of Here,David Gilmour,1978
This Is Pop?,XTC,1978
Three Times A Lady,The Commodores,1978
Till It Shines,Bob Seger & The Silver Bullet Band,1978
Tommy Gun,The Clash,1978
