Title,Artist,Letter
Holdin' On To Yesterday,Ambrosia,H
Holding On (When Love Is Gone),L.T.D.,H
Hole In My Life,The Police,H
Holiday Inn,Elton John,H
Holidays In The Sun,Sex Pistols,H
Hollywood,Boz Scaggs,H
Hollywood Nights,Bob Seger & The Silver Bullet Band,H
Hollywood Swinging,Kool & The Gang,H
Home,Karla Bonoff,H
Home Again,Carole King,H
Home At Last,Steely Dan,H
Homegrown,Neil Young,H
Hometown Blues,Tom Petty & The Heartbreakers,H
Homework,The J. Geils Band,H
Honaloochie Boogie,Mott The Hoople,H
Honey Don't Leave L.A.,James Taylor,H
Honeymoon With B Troop,10cc,H
Hong Kong Garden,Siouxsie & The Banshees,H
Honky Cat,Elton John,H
Honky Tonk Women,Elton John,H
Hooked On A Feeling,Blue Swede,H
Hooked On Your Love,Aretha Franklin,H
Hope You're Feeling Better,Santana,H
Horse With No Name,America,H
Hot As Sun/Glasses,Paul McCartney,H
Hot Child in the City,Nick Gilder,H
Hot Dog,Led Zeppelin,H
Hot Love,T Rex,H
Hot Love Cold World,Bob Welch,H
Hot Pants,James Brown,H
Hot Rod Lincoln,Commander Cody & His Lost Planet Airmen,H
Hot Stuff,Donna Summer,H
Hot Stuff,The Rolling Stones,H
Hot Summer Nights,Night,H
Hotel California,The Eagles,H
Hots On For Nowhere,Led Zeppelin,H
Houses Of The Holy,Led Zeppelin,H
How Can I Tell You,Cat Stevens,H
How Can You Keep Moving,Ry Cooder,H
How Can You Mend A Broken Heart,Al Green,H
How Can You Mend A Broken Heart,Bee Gees,H
How Deep Is Your Love,Bee Gees,H
How Do You Do?,Mouth & MacNeal,H
How Do You Sleep?,John Lennon,H
How Does It Feel?,Slade,H
How Long,ACE,H
How Long (Betcha' Got a Chick on the Side),The Pointer Sisters,H
How Many More Years,Freddie King,H
How Much I Feel,Ambrosia,H
How?,John Lennon,H
Howard Hughes' Blues,John Hartford,H
Human Fly,The Cramps,H
Human Highway,Neil Young,H
Humdrum,Peter Gabriel,H
Hunters And Collectors,Can,H
Hurricane,Bob Dylan,H
Hurry Up,Poco,H
Hurt By Love,Chris Spedding,H
Hymn-Song,McCoy Tyner,H
Hypnotized,Fleetwood Mac,H
