Title,Artist,Year
Carry On,Crosby Stills Nash & Young,1970
Carry On,fun.,2012
Carry That Weight,The Beatles,1969
Cars,Gary Numan,1979
Cars Hiss By My Window,The Doors,1971
Casey Jones,Grateful Dead,1972
Cassidy,Bob Weir,2004
Castles Made Of Sand,Jimi Hendrix,1967
Casual Party,Band Of Horses,2016
Catch Me (I'm Falling),Pretty Poison,1987
Catch My Disease,Ben Lee,2005
Catch Us If You Can,Dave Clark Five,1965
Cath,The Bluebells,1984
Cathedral,Crosby Stills & Nash,1977
Cathy's New Clown,John Wesley Harding,1990
Cat's In The Cradle,Harry Chapin,1974
Cats Under The Stars,Jerry Garcia,1978
Caught A Lite Sneeze,Tori Amos,1996
Cautionary Tale,Dylan LeBlanc,2016
Cayman Review,Trey Anastasio,2002
Cecilia,Simon & Garfunkel,1970
Cello Song,Nick Drake,1969
Celluloid Heroes,The Kinks,1972
Centerfold,The J. Geils Band,1994
Century City,Tom Petty & The Heartbreakers,1979
Chain Lightning,Steely Dan,1975
Chained To These Lovin' Arms,Patty Larkin,1991
Chain Of Fools,Aretha Franklin,1968
Chains,The Beatles,1963
Chameleon,Herbie Hancock,1973
Champagne Supernova,Oasis,1995
Change,Patty Griffin,1998
Change,Tears For Fears,1983
Change In Speak,De La Soul,1989
Change Of Heart,Tom Petty & The Heartbreakers,1982
Change Of Time,Josh Ritter,2010
Change Partners,Rosanne Cash,1993
Change Partners,Stephen Stills,1971
Change the Sheets,Kathleen Edwards,2012
Changed The Locks,Lucinda Williams,1988
Changes,Charles Bradley,2013
Changes,David Bowie,1971
Channel Z,B-52's,1989
Charlie Brown,Coldplay,2011
Chasing Cars,Snow Patrol,2006
Chasing Heather Crazy,Guided By Voices,2001
Chasing Pavements,Adele,2008
Chasing Pirates,Norah Jones,2009
Chateau Lobby #4 (in C for two virgins),Father John Misty,2015
Check It Out,John Mellencamp,1987
Check The Rhyme,A Tribe Called Quest,2009
Chemistry,Semisonic,2000
Cherry Blossom Girl,Air,2004
Cherry Bomb,John Mellencamp,1987
Cherry Bomb,The Runaways,1976
Cherry Oh Baby,Eric Donaldson,1972
Cherry Oh Baby,The Rolling Stones,1976
Cherry Oh Baby,UB40,1983
"Cherry, Cherry",Neil Diamond,1966
Chest Fever,The Band,1968
Chicago,Sufjan Stevens,2005
Children Of The Revolution,T Rex,1972
Chill Out,John Lee Hooker,1995
China Cat Sunflower,Grateful Dead,1969
China Girl,David Bowie,1983
China Girl,Iggy Pop,1977
China Grove,The Doobie Brothers,1973
Chinatown,Joe Jackson,1982
Chips Ahoy!,The Hold Steady,2006
Choice In The Matter,Aimee Mann,1995
Christine,Siouxsie & The Banshees,1980
Chuck E's In Love,Rickie Lee Jones,1994
Church,Lyle Lovett,1992
Cigarettes And Alcohol,Oasis,1994
Cigarettes And Chocolate Milk,Rufus Wainwright,2001
Cinco De Mayo,War,1982
Cinder And Smoke,Iron And Wine,2004
Cindy Incidentally,Faces,1973
"Cindy, It Was Always You",Steve Wynn & The Miracle 3,2005
Cinnamon Girl,Neil Young,1969
Circles,Soul Coughing,1998
Cissy Strut,The Meters,1969
City Of New Orleans,Arlo Guthrie,1972
City Of Immigrants,Steve Earle,2007
Clap Hands,Tom Waits,1985
Clarity,John Mayer,200
Clash City Rockers,The Clash,1978
Cleaning Windows,Van Morrison,1982
Clean Up Woman,Betty Wright,1972
Cleveland Rocks,Ian Hunter,1979
Climb On (A Back That's Strong),Shawn Colvin,1992
Clint Eastwood,Gorillaz,2001
Clock Radio,Action Figure Party,2001
Clocks,Coldplay,2002
Close to Me,Lake Street Dive,2016
Close to Me,The Cure,1985
Close To The Edge,Yes,1973
Closer To Fine,Indigo Girls,1989
Closing Time,Leonard Cohen,1992
Closing Time,Semisonic,1998
Cloudbusting,Kate Bush,1985
Cloud Nine,The Temptations,1969
Clubland,Elvis Costello,1980
C'mon Every Beatbox,Big Audio Dynamite,1986
Cocaine,Eric Clapton,1977
Cocaine,J. J. Cale,1976
Cocaine,Jackson Browne,1977
Coconut,Harry Nilsson,1971
Coffee,Sylvan Esso,2014
Cold Beverage,G Love & Special Sauce,1994
Cold Irons Bound,Bob Dylan,1997
Cold Roses,Ryan Adams,2005
Cold Shot,Stevie Ray Vaughan,1984
Cold Sweat,James Brown,1972
Cold Turkey,John Lennon,1969
"Cold, Cold, Cold",Little Feat,1972
Combination Of The Two,Big Brother & The Holding Company,1968
Come A Little Bit Closer,Fleetwood Mac,1974
Come A Little Closer,Cage The Elephant,2013
Come And Get It,Badfinger,1969
Come And Go Blues,The Allman Brothers,1973
