Artist,Title,Year
Barenaked Ladies,One Week,1998
Loggins & Messina,Angry Eyes,1972
The Record Company,Rita Mae Young,2016
Amy Winehouse,Back To Black,2007
Lyle Lovett,This Old Porch,1986
Robert Ellis,California,2016
Citizen Cope,Hurricane Waters,2004
Solange,Cranes In The Sky,2016
The Breeders,Divine Hammer,1993
Alabama Shakes,I Ain't the Same,2012
Bruce Springsteen,Out In The Street,1980
Nick Waterhouse,Katchi,2016
Dave Clark Five,Glad All Over,1963
Arcade Fire,Reflektor,2013
Robert Palmer,Every Kind Of People,1997
Jim James,Here In Spirit,2016
Honus Honus,Oh No!,2016
Todd Rundgren,Just One Victory,1973
The Avett Brothers,Ain't No Man,2016
The Flaming Lips,The Castle,2017
Ben Folds Five,She Don't Use Jelly (Lounge-a-Palooza Version),2011
Ben Folds Five,Battle Of Who Could Care Less,1997
Joseph,SOS (Overboard),2016
Buddy Holly,Maybe Baby,1973
Car Seat Headrest,Drunk Drivers/Killer Whales,2016
Red Hot Chili Peppers,Breaking The Girl,1991
LP,Lost On You,2016
Stevie Ray Vaughan,Couldn't Stand The Weather,1984
Doyle Bramhall II,Mama Can't Help You,2016
Nirvana,The Man Who Sold The World,1994
Diane Birch,Nothing But A Miracle,2009
Hamilton Leithauser + Rostam,A 1000 Times,2016
Vampire Weekend,A-Punk,2007
The Blasters,Marie Marie,1982
Drive-By Truckers,What It Means,2016
Edward Sharpe & The Magnetic Zeros,40 Day Dream,2009
Camper Van Beethoven,Take The Skinheads Bowling,1985
Hooton Tennis Club,Katy-Anne Bellis,2016
The Lumineers,Ophelia,2016
Hiss Golden Messenger,Biloxi,2016
Dawes,Roll With The Punches,2016
Diego Garcia,You Were Never There,2010
Linda Ronstadt,Lose Again,1976
The Frightnrs,Nothing More To Say,2016
Bob Marley & The Wailers,Lively Up Yourself,1973
Colvin & Earle,You're Right (I'm Wrong),2016
Nanci Griffith,These Days In An Open Book,1994
Big Country,In A Big Country,1983
Bon Iver,"33 ""GOD""",2016
Brighter Side Of Darkness,Love Jones,1972
U2,I Still Haven't Found What I'm Looking For,1987
The Beatles,If I Fell,1964
Lake Street Dive,Close to Me,2016
Ray Lamontagne,You Can Bring Me Flowers,2006
Tame Impala,Feels Like We Only Go Backwards,2012
Kaiser Chiefs,Ruby,2007
Margaret Glaspy,You & I,2016
Hem,Half Acre,2000
Ramsey Lewis Trio,"The ""In"" Crowd",1965
Phil Roy,Melt,2000
Nathaniel Rateliff & The Night Sweats,I Need Never Get Old,2015
Yes,Starship Trooper,1987
Purling Hiss,Fever,2016
Stevie Ray Vaughan,Love Struck Baby,1983
Van Morrison,Too Late,2016
Talk Talk,Talk Talk,1982
Kathleen Edwards,One More Song The Radio Won't Like,2002
Al Wilson,Show And Tell,1973
Squeeze,Tempted,1990
Train,Cab,2005
Mudcrutch,Trailer,2016
Amanda Shires,When You're Gone,2016
Ryan Adams,Goodnight Rose,2007
Jethro Tull,Bungle In The Jungle,1974
Hurry,Fascination,2016
Wilco,Impossible Germany,2007
Kid Creole & The Coconuts,Endicott,1985
Eric Clapton,I'm Tore Down,1994
General Johnson,Only Time Will Tell,1997
Michael Hedges,Arrowhead,1999
The Stranglers,Golden Brown,1981
T Rex,Bang A Gong (Get It On),1971
Franz Ferdinand,Take Me Out,2004
Siouxsie & The Banshees,Peek-a-boo,1988
Anderson East,Satisfy Me,2015
Arrested Development,Tennessee,1992
The Hold Steady,Chips Ahoy!,2006
The Killers,Mr. Brightside,2003
The Smiths,"Please, Please, Please Let Me Get What I Want",1984
Lord Huron,Time to Run,2012
Johnny Winter,Highway 61 Revisited,1976
Dave Matthews Band,What Would You Say,1994
Chuck Prophet,Tell Me Anything (Turn To Gold),2014
George Ezra,Budapest,2013
Thin Lizzy,Dancing In The Moonlight,1977
Prince,Delirious,1982
The Rolling Stones,Just Your Fool,2016
Primal Scream,Come Together,1990
Valerie June,Astral Plane,2017
Lou Reed,Satellite Of Love,1972
Lou Reed,Andy's Chest,1972
Warren Zevon,Johnny Strikes Up The Band,1978
Warren Zevon,Excitable Boy,1978
Del Amitri,Roll To Me,1995
Lloyd Cole & The Commotions,Perfect Skin,1984
The Strangeloves,I Want Candy,1965
Talking Heads,Take Me To The River,1978
Joni Mitchell,The Circle Game,1970
Phil Ochs,Outside Of A Small Circle Of Friends,1967
Billy Preston,Will It Go Round In Circles,1972
R. E. M.,Perfect Circle,1983
Soul Coughing,Circles,1998
Field Report,Home (Leave The Lights On),2014
Beck,Where It's At,1996
Of Monsters And Men,Little Talks,2010
Sheryl Crow,If It Makes You Happy,1996
Loreena McKennitt,All Souls Night,1991
The Growlers,I'll Be Around,2016
Ben Folds Five,Brick,1994
Andrew Bird,Capsized,2016
Santana,(Da Le) Yaleo,1999
Beach Slang,Spin The Dial,2016
Lenny Kravitz,Always On The Run,1991
Belle & Sebastian,"Step Into My Office, Baby",2003
Sam Smith,Stay With Me,2014
The Fabulous Thunderbirds,Tuff Enuff,1986
Sting,All This Time,1991
Culture Club,Time (Clock Of The Heart),1982
The Outsiders,Time Won't Let Me,1965
Ambrosia,Time Waits For No One,1975
Minus The Bear,My Time,2010
The Zombies,Time Of The Season,1988
Gary Clark Jr.,The Healing,2015
The Doobie Brothers,Takin' It To The Streets,1976
John Mellencamp,Lonely Ol' Night,1985
Elvis Costello,Accidents Will Happen,1979
EL VY,Return To The Moon,2015
Bon Iver,8 (circle),2016
The Who,Behind Blue Eyes,1971
Roxy Music,Dance Away,1979
The Meters,What'cha Say,1974
John Mayer,Vultures,2005
Red Hot Chili Peppers,Dark Necessities,2016
Minnie Driver,Stars & Satellites,2007
Blood Sweat & Tears,Spinning Wheel,1988
Yo La Tengo,Be Thankful For What You Got,1998
Chris Whitley,Poison Girl,1991
Marc Broussard,Respect Yourself,2007
The Temptations,I Can't Get Next To You,1969
Fitz & The Tantrums,Out Of My League,2013
Fiona Apple,Fast As You Can,1999
Steely Dan,Night by Night,1974
George Harrison,Dark Horse,1974
Car Seat Headrest,Vincent,2016
Daft Punk,One More Time,2001
Sufjan Stevens,Chicago,2005
Wilco,"Jesus, Etc.",2002
Echo & The Bunnymen,The Killing Moon,1983
Rufus Wainwright,Out of the Game,2012
Little Walter,Juke,1952
The Police,So Lonely,1978
k. d. lang,Luck In My Eyes,1989
Karl Blau,Fallin' Rain,2016
Sharon Jones And The Dap-Kings,I'm Still Here,2016
The Decemberists,The Engine Driver,2005
James Taylor,Something In The Way She Moves,1968
Creedence Clearwater Revival,It Came Out Of The Sky,1969
Creedence Clearwater Revival,Down On The Corner,1969
Jimmy Cliff,The Harder They Come,1972
Ween,Blue Balloon,2007
Whitney,No Matter Where We Go,2016
Suzanne Vega,We Of Me,2016
The Yardbirds,For Your Love,1983
Tame Impala,"New Person, Same Old Mistakes",2015
New Order,Love Vigilantes,1985
Mayer Hawthorne,Reach Out Richard,2013
The Jayhawks,Waiting For The Sun,1992
Parquet Courts,Dust,2016
Foo Fighters,Learn To Fly,1999
Stevie Wonder,As,1971
Coldplay,Adventure Of A Lifetime,2015
The War On Drugs,Red Eyes,2013
The National,Fake Empire,2007
The La's,There She Goes,1990
Led Zeppelin,Kashmir,1975
The Wallflowers,Reboot The Mission,2012
The Clash,The Magnificent Seven,1980
Sturgill Simpson,Brace For Impact,2016
The Lightning Seeds,Pure,1989
Mungo Jerry,In The Summertime,1986
Bonnie Raitt,Gypsy In Me,2016
Electric Light Orchestra,Evil Woman,1975
Soup Dragons,Divine Thing,1992
Del Shannon,Runaway,1961
Dire Straits,So Far Away,1985
Gillian Welch,My First Lover,2001
David Wax Museum,Guesthouse,2015
Deep Forest,Sweet Lullaby,1992
Jane Siberry,Sail Across The Water,1993
Dylan LeBlanc,Cautionary Tale,2016
Modest Mouse,Fire It Up,2007
Blur,Girls And Boys,1994
Lana Del Rey,West Coast,2014
The Jayhawks,She Walks In So Many Ways,2011
Jackson Browne,I'm Alive,1993
The Allman Brothers,Ain't Wastin' Time No More,1972
The English Beat,I Confess,1982
Entrain,Dancin' In The Light,1999
Preston Reed,Slap Funk,1990
Kaki King,Doing The Wrong Thing,2004
X,Your Phone's Off The Hook But You're Not,1980
Erin McKeown,Blackbirds,2000
The House Of Love,I Don't Know Why I Love You,1989
Modest Mouse,Ocean Breathes Salty,2004
Shakey Graves,Dearly Departed,2014
The Box Tops,Cry Like A Baby,1968
The Black Keys,Little Black Submarines,2011
Robert Plant,Rainbow,2014
Son Little,The River,2014
Israel Nash,Rain Plans,2013
George Harrison,Wah-wah,1970
Prince,When You Were Mine,1980
Talking Heads,This Must Be The Place (Naive Melody),1983
Bruce Cockburn,Lovers In A Dangerous Time,1984
Treat Her Right,I Think She Likes Me,1986
Bright Eyes,Four Winds,2007
Delaney & Bonnie & Friends,"Well, Well",1994
Neko Case,Man,2001
Boz Scaggs,Lowdown,1977
Keane,Everybody's Changing,2003
The Blue Nile,Stay,1984
TED LEO,Heroes,2010
Joseph,White Flag,2016
Mumford & Sons,Lover of the Light,2012
Living Colour,Cult Of Personality,1988
Iggy & The Stooges,Raw Power,1973
The Boomtown Rats,Lookin' After No. 1,1977
Suicide Commandos,Burn It Down,1978
Suicide,Ghost Rider,1977
Chambers Brothers,Time Has Come Today,1967
The Clash,Train In Vain,1979
Diarrhea Planet,Hot Topic,2016
Sweet,The Ballroom Blitz,1973
The Monkees,Early Morning Blues And Greens,1967
Sonny Landreth,Congo Square,1985
Steve Wynn & The Miracle 3,All The Squares Go Home,2005
Coldplay,Square One,2005
Big Audio Dynamite,E=mc2,1985
The Beta Band,Squares,2001
Led Zeppelin,Going To California,1971
Parliament,Flashlight,1977
Richard Thompson,"Easy There, Steady Now",1994
Pete Townshend,Let My Love Open The Door,1980
Jimi Hendrix,Castles Made Of Sand,1967
Magic Sam,Sweet Home Chicago,1967
Eagle-Eye Cherry,Save Tonight,1996
Lou Reed,Sally Can't Dance,1974
Edward Sharpe & The Magnetic Zeros,Home,2009
Rod Stewart,You Wear It Well,1972
Smokey Robinson & The Miracles,I Second That Emotion,1967
North Mississippi Allstars,Shake 'Em On Down,2000
Steve Winwood,Arc Of A Diver,1980
Prince,Sign O' The Times,1987
Edgar Winter Group,Frankenstein,1973
Deep Purple,Space Truckin',1972
War,Low Rider,1976
Fleetwood Mac,Hypnotized,1973
Little Feat,Oh Atlanta,1974
Golden Earring,Radar Love,1971
Creedence Clearwater Revival,Born On The Bayou,1972
World Party,Put The Message In The Box,1990
Bob Marley & The Wailers,No Woman No Cry,1974
Iggy Pop,Gardenia,2016
Tegan And Sara,Walking With A Ghost,2004
Tegan And Sara,Hell,2009
Counting Crows,Anna Begins,1993
U2,Stuck In A Moment You Can't Get Out Of,2000
New Order,Restless,2015
Spirit,Fresh Garbage,1968
Joan Osborne,What Becomes Of The Brokenhearted,2002
Good Old War,Tell Me What You Want From Me,2015
Suzanne Vega,Left Of Center,1986
The War On Drugs,An Ocean In Between The Waves,2014
Feist,1234,2007
John Fullbright,Gawd Above,2012
Dr. Dog,Worst Trip,2006
Bonnie Raitt,You've Been In Love Too Long,1973
Santana,Everybody's Everything,1971
Rodrigo Y Gabriela,Tamacun,2006
eels,Novocaine For The Soul,1996
Aztec Camera,Oblivious,1983
The Clash,I'm So Bored With The U.s.a.,1977
Dead Milkmen,Punk Rock Girl,1988
Kraftwerk,Home Computer,1981
MGMT,Electric Feel,2007
Bob Dylan,Buckets of Rain,1975
Depeche Mode,Never Let Me Down Again,1987
Talking Heads,Making Flippy Floppy,1983
Ingrid Michaelson,The Way I Am,2006
Cousteau,Last Good Day Of The Year,2000
Old 97's,Dance With Me,2008
Hall & Oates,She's Gone,1974
David Bowie,I Can't Give Everything Away,2016
Elvis Costello,Man Out Of Time,1982
Joe Jackson,Breaking Us In Two,1982
Tegan And Sara,Back In Your Head,2007
The Jacksons,Enjoy Yourself,1976
Van Morrison,Sweet Thing,1968
Adam Ant,Desperate But Not Serious,1982
Cocteau Twins,Pearly-dewdrops' Drops,1984
R. E. M.,The Great Beyond,1999
John Hiatt,Memphis In The Meantime,1987
Oasis,Live Forever,1994
Jackson Browne,You Love The Thunder,1977
Amy Helm,Rescue Me,2015
Damien Rice,Delicate,2002
case/lang/veirs,Best Kept Secret,2016
The Smiths,The Headmaster Ritual,1985
Jack Johnson,Bubble Toes,2000
Indigo Girls,Closer To Fine,1989
Bruce Springsteen,Tougher Than The Rest,1987
The Gaslight Anthem,American Slang,2010
Grace Potter And The Nocturnals,Nothing But The Water II,2005
Semisonic,Closing Time,1998
Prefab Sprout,When Love Breaks Down,1984
Kyle Craft,Eye Of A Hurricane,2016
Steve Forbert,Born Too Late,1992
Madisen Ward and the Mama Bear,Silent Movies,2015
The Supremes,My World Is Empty Without You,1965
The Lone Bellow,Take My Love,2015
The Strokes,Last Nite,2001
The Beach Boys,"Caroline, No",1966
Peter Gabriel,In Your Eyes,1986
Meat Puppets,Up On The Sun,1985
Dwight Yoakam,Second Hand Heart,2015
The Chills,Heavenly Pop Hit,1990
Neil Young,Drive Back,1975
Alabama Shakes,Shoegaze,2015
Adele,Hello,2015
Stevie Wonder,That Girl,1981
The Specials,Ghost Town,1981
Joe Jackson,Steppin Out,1982
Dr. Dog,Lonesome,2012
The Beatles,Eight Days A Week,1964
Nick Lowe,So It Goes,1976
Jimmy McGriff,The Last Minute,1994
Compulsive Gamblers,Stop And Think It Over,2000
Deep Sea Diver,Wide Awake,2016
Orange Juice,What Presence?!,1984
Steve Gunn,Heavy Sails,2016
The New Pornographers,Silver Jenny Dollar,2010
Mark Sultan,Rock Me,2016
Diarrhea Planet,Bob Dylan's Grandma,2016
Warehouse,Simultaneous Contrasts,2016
Ought,Celebration,2015
Flasher,Erase Myself,2016
Black Lips,Mr. Driver,2011
Savoy Motel,Sorry People,2016
Dr. Dog,Shadow People,2010
Bruce Springsteen,No Surrender,1984
"10,000 Maniacs",Trouble Me,1989
Ray Lamontagne,Three More Days,2006
Counting Crows,Round Here,1993
Sam Phillips,Baby I Can't Please You,1994
B-52's,Roam,1989
The Drifters,There Goes My Baby,1985
Ben Harper,With My Own Two Hands,2002
Emeli Sande,Next to Me,2012
Queen,Crazy Little Thing Called Love,1979
Heartless Bastards,The Mountain,2009
Arcade Fire,No Cars Go,2003
U2,With Or Without You,1987
The Isley Brothers,Harvest For The World,1976
James Brown,Funky President,1974
Bob Marley & The Wailers,War / No More Trouble,1978
Stevie Wonder,Living For The City,1973
Archie Bell & The Drells,Tighten Up,1985
Edwin Starr,War,1970
Brothers Johnson,Get The Funk Out Ma Face,1976
The Young Rascals,People Got To Be Free,1968
War,Why Can't We Be Friends?,1975
Stevie Wonder,"Signed, Sealed, Delivered I'm Yours",1974
Betty Wright,Clean Up Woman,1972
Jean Knight,Mr. Big Stuff,1971
Charles Wright & The Watts 103rd Street Rhythm Band,Express Yourself,1970
Sly & The Family Stone,Everyday People,1969
The O'Jays,For The Love Of Money,1984
Sam Smith,Money On My Mind,2014
Simply Red,Money's Too Tight,1985
Neville Brothers,Ball Of Confusion,2004
Funkadelic,One Nation Under A Groove,1978
Aretha Franklin,Spirit In The Dark,1970
Curtis Mayfield,We Got To Have Peace,1971
Marvin Gaye,What's Going On,1971
Stevie Wonder,You Haven't Done Nothin',1974
James Brown,Living In America,1985
The Honeycombs,Have I The Right,1964
Nada Surf,Whose Authority,2008
Phantogram,Fall in Love,2014
Michael Franti & Spearhead,Say Hey (I Love You),2008
King Crimson,21st Century Schizoid Man,1969
G Love & Special Sauce,Rodeo Clowns,1999
New Radicals,You Get What You Give,1998
Old 97's,Every Night Is Friday Night (Without You),2010
Fountains Of Wayne,Stacy's Mom,2003
Gregg Allman,Midnight Rider,1973
Maktub,You Can't Hide,2002
Lucinda Williams,Joy,1998
Soul Survivors,Expressway To Your Heart,1987
Stan Ridgway,Lonely Town,1989
Lily Allen,Smile,1996
Josh Ritter,Where The Night Goes,2015
Jagwar Ma,Give Me A Reason,2016
John Hiatt,Real Fine Love,1990
Stevie Wonder,Higher Ground,1973
Pink Floyd,Another Brick In The Wall (Part 2),1979
The Mighty Mighty Bosstones,The Impression That I Get,1996
The Revivalists,Wish I Knew You,2015
The Revivalists,Keep Going,2015
Fastball,The Way,1997
Cream,I Feel Free,1966
Moby,Why Does My Heart Feel So Bad?,1999
Stevie Ray Vaughan,Pride And Joy,1992
The Avett Brothers,I And Love and You,2009
Arthur Conley,Sweet Soul Music,1967
Shemekia Copeland,Who Stole My Radio?,2005
Rush,Closer To The Heart,1977
The Black Keys,Next Girl,2010
David Berkeley,Colored Birds,2015
Genesis,Eleventh Earl Of Mar,1976
Jackson Browne,That Girl Could Sing,1980
Everything But The Girl,Driving,1990
Joe Bonamassa,Dust Bowl,2011
The Beach Boys,God Only Knows,1966
The Beach Boys,Wouldn't It Be Nice,1966
Elvis Presley,Hound Dog,1970
Elvis Presley,Don't Be Cruel,1981
Carole King,It's Too Late,1971
Carole King,I Feel The Earth Move,1971
The Monkees,(I'm Not Your) Steppin' Stone,1966
The Monkees,I'm A Believer,1966
Buddy Holly,Not Fade Away,1979
Buddy Holly,Oh Boy!,1978
Sam Cooke,Bring It On Home To Me,1962
Sam Cooke,Having A Party,1962
The Rolling Stones,Let's Spend The Night Together,1967
The Rolling Stones,Ruby Tuesday,1967
The Beatles,I Saw Her Standing There,1964
The Beatles,I Want To Hold Your Hand,1965
Aretha Franklin,Rock Steady,1972
Aretha Franklin,Oh Me Oh My (I'm A Fool For You Baby),1972
Queen,We Will Rock You / We Are The Champions,1990
Low Cut Connie,Jump Into The Fire,2014
The Airborne Toxic Event,Sometime Around Midnight,2008
Gov't Mule,Soulshine,1999
The Band,Helpless,1978
Grant Lee Phillips,Cry Cry,2016
Delta Spirit,Trashcan,2007
The Raveonettes,Love In A Trashcan,2005
Squeeze,Take Me I'm Yours,1978
Tom Tom Club,Genius Of Love,1981
The Avett Brothers,Another Is Waiting,2013
David Bowie,The Width Of A Circle,1970
Jim James,Same Old Lie,2016
Ryan Adams,Bad Blood,2015
Smashing Pumpkins,Thirty Three,1995
The Hombres,Let It Out (let It All Hang Out),1967
Delbert McClinton,Too Much Stuff,1997
The Cars,Let's Go,1979
Marc Broussard,Home,2004
Jurassic 5,Work It Out,2006
Grateful Dead,Dancin' In The Streets,1977
The Replacements,Bastards Of Young,1985
Fishbone,Everyday Sunshine,1991
The Main Ingredient,Just Don't Want To Be Lonely,1974
Fitz & The Tantrums,MoneyGrabber,2010
Fleetwood Mac,Go Your Own Way,1977
Tim Buckley,Strange Feelin,1969
Dixie Hummingbirds,Personal Jesus,2006
Paul Simon,Wristband,2016
Dr. John,Revolution,2012
The The,Uncertain Smile,1982
Nouvelle Vague,Ever Fallen In Love?,2006
The Kinks,You Really Got Me,1964
Television,Marquee Moon,1977
The Waterboys,How Long Will I Love You,1989
Elvis Presley,Mystery Train,1955
Johnny Cash,Ring of Fire,1963
Ian Dury & The Blockheads,Sex & Drugs & Rock & Roll,1986
Michael Kiwanuka,One More Night,2016
Dave Mason,"Let It Go, Let It Flow",1977
Spoon,Do You,2002
Soul Asylum,Runaway Train,1993
Beck,Dreams,1989
The Upsetters,Return Of Django,1969
Bela Fleck,"""prelude"" From Partita No. 3 For Solo Violin",2001
Guitar Slim,Trouble Don't Last,1991
Jimmy Thackery & The Drivers,I Even Lost The Blues,2016
Little Walter,Tell Me Mama,1953
Lil' Ed & The Blues Imperials,Green Light Groove,2016
Big Bill Broonzy,I Can't Be Satisfied,1930
Shemekia Copeland,"Lord, Help The Poor And Needy",2015
David Bromberg,Kentucky Blues,2016
Sonny Rhodes,Blues Is My Religion,1999
Dr. John,I Walk On Guilded Splinters,1968
James Cotton,Diggin' My Potatoes,1986
Robert Johnson,Stop Breakin' Down Blues,1989
Johnny Copeland,Down On Bended Knee,1981
Muddy Waters,You Can't Lose What You Ain't Never Had,1964
Lil' Ed & The Blues Imperials,I Like My Hot Sauce Cold,2016
Percy Mayfield,I Don't Want To Be President,2004
Bobby Rush,Me Myself And I,2016
Roosevelt Sykes,Night Time Is The Right Time,1937
Jimi Hendrix,Hear My Train A Comin',1971
Barbara Dennerlein,Black And White,1999
Bukka White,Parchman Farm Blues,1940
Koko Taylor,Honky Tonky,1998
B. B. King,"Roll, Roll, Roll",1991
Magic Sam Blues Band,I Just Want A Little Bit,1968
Little Milton,Casino Blues,1994
Bukka White,The Panama Limited,1931
Sunnyland Slim,Be Careful How You Vote,1994
Glen Miller,Moonlight Serenade,2011
The Rivieras,Moonlight Serenade,1992
The Hilltoppers,P.S. I Love You,1953
The Classics,Till Then,1963
The Chimes,Once In A While,1960
Joni James,Have You Heard,2000
The Duprees,Have You Heard,1963
Joni James,Why Don't You Believe Me,1993
The Duprees,Why Don't You Believe Me,1962
Jo Stafford,You Belong To Me,1952
Duprees,You Belong To Me,1987
Jimmy Durante,September Song,1963
Dion And The Belmonts,September Song,1960
Jo Stafford,All The Things You Are,2010
Dion And The Belmonts,All The Things You Are,1960
Dion And The Belmonts,In The Still Of The Night,1960
The Flamingos,In The Still Of The Night,1960
Warpaint,Undertow,2010
David Bowie,Lazarus,2015
Eric Clapton,Willie And The Hand Jive,1974
Divine Fits,Shivers,2012
Traffic,Dear Mr. Fantasy,1967
Glen Hansard,Winning Streak,2015
Dinosaur Jr,Repulsion,1985
The Beatles,Yer Blues,1968
Ryan Adams,La Cienega Just Smiled,2001
Beck,Sexxlaws,2000
Talking Heads,Uh-oh Love Comes To Town,1977
Louis Armstrong,West End Blues,1986
The Temptations,Cloud Nine,1969
Kanye West,Touch The Sky,2005
Roxy Music,Out Of The Blue,1974
Japandroids,Near to the Wild Heart of Life,2017
Pink Floyd,Time,1971
Neutral Milk Hotel,"Holland, 1945",1998
George Benson,Breezin',1976
St. Vincent,Prince Johnny,2014
Jamie xx,Loud Places,2015
Red Baraat,Burning Instinct,2013
R. E. M.,Carnival Of Sorts (box Cars),1982
Mark Ronson,Uptown Funk,2014
Fountains Of Wayne,Someone To Love,2007
The Smiths,This Charming Man,1983
ZZ Top,Snappy Kakkie,1976
Band Of Horses,Laredo,2010
Foxygen,Follow The Leader,2017
Chuck Jackson,I Keep Forgettin',1962
Big Thief,Masterpiece,2016
A Tribe Called Quest,Luck of Lucien,1990
Free,The Stealer,1970
Wilco,Sunken Treasure,1996
Ryan Adams,Rescue Blues,2001
The Raspberries,Overnight Sensation (hit Record),1994
Big Star,September Gurls,1974
Gorillaz,Feel Good Inc.,2005
Blondie,Heart Of Glass,1978
LCD Soundsystem,Tribulations,2005
Steely Dan,Peg,1977
Tom Petty & The Heartbreakers,Here Comes My Girl,1979
Spoon,The Mystery Zone,2010
The Shangri-La's,Remember (walkin' In The Sand),1986
Simple Minds,Don't You (forget About Me),1985
Phish,Tide Turns,2016
Little Feat,Dixie Chicken,1973
David Bowie,Beauty And The Beast,1977
The Replacements,The Ledge,1987
The Clash,Jimmy Jazz,1979
The Specials,"Rudy, A  Message To You",2000
John Lee Hooker,Boom Boom,1964
Eddie Cochran,Twenty Flight Rock,1959
Mayer Hawthorne,Someone Like You,2016
Cheap Trick,On Top Of The World,1978
CRX,Ways To Fake It,2016
Tame Impala,Why Won't You Make Up Your Mind,2010
Cage The Elephant,Come A Little Closer,2013
Led Zeppelin,Immigrant Song,1970
Blind Melon,Change,1992
INXS,New Sensation,1987
The Stills-Young Band,Midnight On The Bay,1976
Yo La Tengo,Periodically Double or Triple,2009
George Harrison,I Dig Love,1970
Radiohead,Exit Music (For A Film),1997
Sufjan Stevens,Death With Dignity,2015
Tyler Ramsey,Please Stop Time,2008
Sylvie Simmons,Who Knows Where Time Goes,2014
Gregory Alan Isakov,Time Will Tell,2013
Lucinda Williams,Overtime,2003
Vanessa Carlton,Matter of Time,2015
Cassandra Wilson,Until,1996
Heidi Talbot,Time,2008
Ron Sexsmith,Wastin' Time,1995
Strawbs,"Here today, gone tomorrow",2005
Grant Green,Idle Moments,1964
David Myles,Turn Time Off,2010
Moya Brennan,Perfect Time,1998
