Artist,Title
Michael Kiwanuka,Love & Hate
The Head And The Heart,Rhythm & Blues
Jackson Browne,Something Fine
Colvin & Earle,You're Right (I'm Wrong)
Hazel English,Never Going Home
Ultravox,Reap The Wild Wind
Gary Numan,Cars
Fujiya & Miyagi,Outstripping (The Speed Of Light)
Leonard Cohen,You Want It Darker
Beck,Nausea
Lucinda Williams,I Just Wanted To See You So Bad
Drive-By Truckers,What It Means
The Beatles,Norwegian Wood (This Bird Has Flown)
Dawg Yawp,Lost At Sea
Red Hot Chili Peppers,Go Robot
White Denim,Ha Ha Ha Ha (Yeah)
The Breeders,Cannonball
Margaret Glaspy,You & I
Public Access T.V.,End of an Era
Animal Liberation Orchestra,The Ticket
Phish,Breath and Burning
Amos Lee,Vaporize
Houndmouth,Sedona
Sylvan Esso,Radio
The Ting Tings,That's Not My Name
Warpaint,New Song
Chicago Transit Authority,Questions 67 & 68
Foxygen,Follow The Leader
The Seeds,Pushin' Too Hard
Emmylou Harris,I Don't Want To Talk About It Now
The Rolling Stones,Just Your Fool
The Record Company,Rita Mae Young
Ryan Adams,New York New York
Duncan Sheik,Barely Breathing
Dawes,Roll With The Punches
The Who,Another Tricky Day
Arcade Fire,Neighborhood #3 (power Out)
Shovels & Rope,I Know
Neil Finn,Sinner
The Velvet Underground & Nico,I'm Waiting For The Man
Lydia Loveless,Longer
Lucinda Williams,Get Right With God (remix)
Alvin Cash And The Crawlers,Twine Time
Alvin Cash And The Crawlers,Twine Time
Punch Brothers,I Blew It Off
The Marcus King Band,Ain't Nothing Wrong With That
Stephen Stills,Change Partners
Honus Honus,Oh No!
Dave Matthews Band,The Best Of What's Around
Bon Iver,"33 ""GOD"""
Clap Your Hands Say Yeah,Over And Over Again (lost And Found)
Brett Dennen,Wild Child
John Coltrane,Giant Steps
John Legend,Ordinary People
Norah Jones,Flipside
R. E. M.,It's The End Of The World As We Know It (And I Feel Fine)
Car Seat Headrest,Vincent
Frank Ocean,Pink + White
The Growlers,I'll Be Around
The Black Keys,Girl Is On My Mind
Rachael Yamagata,Over
Hamilton Leithauser + Rostam,A 1000 Times
Santana,Oye Como Va
Kings Of Leon,Waste A Moment
Lotus,Eats The Light
Wilco,Random Name Generator
Joseph,SOS (Overboard)
Middle Kids,Your Love
Randy Newman,You Can Leave Your Hat On
The Shins,Dead Alive
Tom Waits,Ol '55
Brent Cobb,Solving Problems
Michael Hedges,The 2nd Law
Jeff Beck,She's A Woman
