Artist,Title
Nathaniel Rateliff & The Night Sweats,I Need Never Get Old
Aimee Mann,Could've Been Anyone
Black Uhuru,What Is Life
M. Ward,Never Had Nobody Like You
The Avett Brothers,Ain't No Man
The Eagles,Take It Easy
Lotus,Eats The Light
Sinead O'Connor,Nothing Compares 2 U
Amanda Shires,When You're Gone
The Cure,Boys Don't Cry
Joss Stone,Super Duper Love
Soul Brothers Six,Some Kind Of Wonderful
Pearl Jam,Better Man
Jim James,Here In Spirit
Colvin & Earle,You're Right (I'm Wrong)
Mondo Cozmo,Shine
Valerie June,Astral Plane
Madeleine Peyroux,Dreamland
Solange,Cranes In The Sky
Dawes,Roll With The Punches
John Mellencamp,Rain On The Scarecrow
The Rolling Stones,Hate To See You Go
Balance and Composure,Call It Losing Touch
Kirsty MacColl,Walking Down Madison
Dawg Yawp,Lost At Sea
The Flaming Lips,The Castle
Otis Redding,Fa Fa Fa Fa Fa (sad Song)
Bruce Springsteen,Dancing In The Dark
The Pretenders,Holy Commotion
Cloud Nothings,Separation
Clap Your Hands Say Yeah,Blue Turning Gray
