Artist,Title
Mose Allison,Old Man's Blues
Mose Allison,Young Man's Blues
The Books,"The Lemon of Pink, Pts. 1 & 2"
Dave Van Ronk,Sunday Street
The Books,Cello Song (feat. Jose Gonzalez)
Sufjan Stevens,Vito's Ordination Song
Hans Theessink & Terry Evans,Shelter from the Storm (feat. Ry Cooder)
Willie Nelson & Leon Russell,Let the Rest of the World Go By
Cory Hanson,Evening Glass
Pentangle,The Trees They Do Grow High [alt. version]
Washington Phillips,Mother's Last Word to Her Son
Mose Allison,Everybody Cryin' Mercy
Mose Allison,I Don't Worry About a Thing
Colvin & Earke,You're Still Gone
Leon Russell,I'm Afraid the Masquerade is Over
Karen Dalton,Take Me
Kadhja Bonet,Francisco
Miles Davis,Concierto De Aranjuez
Neil Young,A Man Needs A Maid/Heart Of Gold Suite
Joan Baez,Diamonds And Rust
Joni Mitchell,Both Sides Now
Bob Dylan,When I Paint My Masterpiece
Leon Russell,This Masquerade
Elton John,Come Down In Time
Wilco,Normal American Kids
Billy Bragg/Joe Henry,Early Morning Rain
Johnny Cash,Bird On A Wire
Gordon Lightfoot,A Minor Ballad
Leonard Cohen,Leaving The Table
Mose Allison,Once In A While
Charlie Haden & Liberation Music Orchestra,Utviklingssang
Shawn Colvin,Tougher Than The Rest
Margaret Glaspy,Somebody To Anybody
Jonatha Brooke,Too Much Happiness
Bela Fleck,First Light
Grateful Dead,Ripple
Jerry Garcia/David Grisman,Casey Jones
Josienne Clarke & Ben Walker,Dark Turn Of Mind
Gillian Welch,By The Mark
Cassandra Wilson,The Way You Look Tonight
Nat Adderley,My Heart Stood Still
Luka Bloom,Exploring The Blue
HIss Golden Messenger,Smoky's Song/Cracked Windshield
Glen Hansard,Stay The Road
The Hot Club Of San Francisco,"Here, There and Everywhere"
Cliff Cole,Changing Seasons
James Ehnes,"Andante;Sonata II in A Minor, BWV 1003 (Bach)"
Victoria Drake,"Andante:Sonata in D Minor, K 213 (Scarlatti)"
Brian Eno,An Echo of Night
George Wallace,It Is
Carl Weingarten,An Endless Premonition
Forma,Improvisation for Flute and Piano
Kaitlyn Aurelia Smith/Suzanne Ciani,A New Day
Michael Jon Fink,A Temperament for Angels
K Markov,To the Unknown
Syndromeda,Upside Down
Edgar Froese,NGC 891
Cosmic Ground,Keep Us In Space
Guitar Pilots,Metal Dreams
Steve Hauschildt,Transience of Earthly Joy
Klaus Schulze,Wahnfried 1883
Chuck van Zyl,Outwatched by Stars 1
Spacecraft,De Profundis
Redshift,Vampyre
TJ Porter,A Fool's Errand (Little England)
Spyra,Staub
loscil,Weeds
Ian Boddy,Quantum of Memory
